lemma,shannon
der,1.4820685154170754
ein,1.3545810752131697
global,0.6931471805599453
spielen,0.6365141682948128
solch,0.6931471805599453
werden,1.0888999753452238
relevant,0.6931471805599453
ihr,0.5623351446188083
neu,0.6931471805599453
müssen,1.0397207708399179
ändernd,0.6931471805599453
haben,0.5004024235381879
dies,1.310783678099714
effektiv,1.0549201679861442
sein,1.0296530140645737
evidenzbasiert,1.0397207708399179
wissenschaftlich,0.6931471805599453
verschieden,0.6365141682948128
wesentlich,0.6931471805599453
können,0.6931471805599453
klar,0.6931471805599453
bestehen,0.6931471805599453
öffentlich,0.6365141682948128
intensiv,0.6931471805599453
wertvoll,0.6931471805599453
wir,0.6365141682948128
