ashuman,asmachine,human
72.87853577371048,69.75524475524476,56.54952076677316
72.32824427480917,71.71314741035857,47.97297297297297
80.0711743772242,73.13829787234043,61.36363636363637
71.37330754352031,74.80314960629921,62.7039627039627
61.969696969696976,72.82051282051282,65.98890942698706
73.48754448398577,74.50738916256158,59.15119363395226
61.32756132756133,72.13740458015268,56.502242152466366
76.31103074141049,68.76155268022181,42.99552906110284
75.390625,72.67605633802818,50.750469043151966
70.66420664206642,68.71609403254972,55.58620689655173
68.34532374100719,59.00846432889964,56.08342989571264
69.64980544747081,71.08655616942909,58.48303393213573
71.55322862129145,68.41186736474695,59.12162162162162
72.12230215827337,68.21086261980831,63.43402225755167
73.68421052631578,74.47552447552448,61.52542372881356
68.33333333333333,72.66839378238342,60.48502139800286
72.50470809792844,69.85559566787003,56.23836126629422
75.68493150684932,75.2442996742671,58.072590738423024
71.99211045364892,74.32432432432432,49.65373961218836
74.95621716287215,70.77534791252485,56.7062818336163
65.64195298372513,67.4766355140187,58.862876254180605
72.04301075268818,71.6117216117216,58.62785862785863
70.7089552238806,74.81617647058823,59.37007874015748
74.03100775193798,69.63249516441006,59.765625
71.57894736842105,60.90425531914894,58.956276445698165
77.99642218246869,76.78916827852998,60.2957906712173
67.16917922948073,72.04450625869264,47.28682170542636
72.0292504570384,69.47162426614481,64.6853146853147
70.32374100719424,71.73076923076923,61.12804878048781
62.74238227146815,70.2048417132216,52.35546038543897
67.74716369529983,69.82142857142857,57.07070707070707
72.83018867924528,74.07407407407408,55.23465703971119
71.53419593345656,72.88801571709233,51.81058495821726
73.77483443708608,73.84615384615385,58.30945558739254
73.6738703339882,77.64705882352942,57.03001579778832
71.40151515151516,61.791044776119406,60.154738878143135
64.62829736211032,61.34185303514377,53.765060240963855
73.13691507798961,72.00772200772201,48.026315789473685
69.28838951310861,69.46107784431138,53.72945638432364
72.26148409893993,70.94474153297683,48.95705521472393
67.22846441947566,72.13438735177866,59.76627712854759
69.58855098389982,69.66292134831461,61.64948453608248
72.57142857142857,73.16176470588235,56.78449258836944
59.10735826296744,71.99248120300751,49.75550122249388
69.01669758812616,64.87730061349694,60.366972477064216
75.06361323155217,74.60629921259843,61.08108108108108
75.78740157480314,73.6738703339882,50.34662045060658
70.60931899641577,71.00591715976331,62.893081761006286
75.04761904761905,67.0909090909091,54.4047619047619
74.45544554455445,60.7192254495159,51.92465192465192
70.75471698113208,67.83625730994152,44.14035087719298
73.45575959933221,69.52595936794582,54.84109386548411
68.45637583892618,70.69271758436945,60.5080831408776
66.87578419071518,72.58687258687259,56.74300254452926
72.6605504587156,67.46765249537893,53.97590361445784
62.58992805755396,71.94656488549617,58.730158730158735
75.1953125,64.66575716234652,54.21686746987952
72.91666666666666,71.7877094972067,55.88235294117647
75.0,70.81967213114754,58.17307692307693
68.9922480620155,70.52238805970148,55.05913272010512
67.51361161524501,70.50938337801608,52.74878218510787
70.35714285714286,72.55985267034991,58.21727019498607
71.58081705150977,73.78815080789947,52.57595772787318
71.31782945736434,72.40143369175627,53.34626576139671
63.58620689655172,77.17231222385863,57.63239875389408
71.38047138047138,58.37912087912088,52.11397058823529
71.21212121212122,60.21897810218978,56.77233429394812
67.6737160120846,64.35331230283911,57.235142118863045
71.2784588441331,72.74436090225564,60.76642335766424
