lemma,shannon
dies,0.9002560512685369
der,1.6229080229067385
einige,0.6365141682948128
haben,0.6931471805599453
ein,1.5171063970610275
werden,0.993230217139768
sein,0.9908353864438493
niedrig,0.5004024235381879
können,1.3337360272028096
steigen,0.6931471805599453
verschieden,0.6365141682948128
füllen,0.6931471805599453
weit,0.6931471805599453
aktuell,0.6365141682948128
hoch,0.6931471805599453
aufrechterhalten,0.6931471805599453
kein,0.6931471805599453
eventuell,0.6931471805599453
bleiben,0.6365141682948128
stabil,0.6931471805599453
