lemma,shannon
der,1.5504938963503108
erreichen,0.6365141682948128
extrem,1.0042424730540764
werden,1.205697772011519
ein,1.310783678099714
unerbittlich,0.6365141682948128
sein,0.7298712099831165
dies,1.0547209169068124
ergreifen,0.5982695885852573
alle,1.0397207708399179
wichtig,0.6931471805599453
steigen,0.6931471805599453
haben,0.6869615765973234
ihr,1.0027182645175161
schwierig,0.6931471805599453
alt,0.6931471805599453
öffentlich,0.6931471805599453
klimatisiert,0.6931471805599453
einige,0.6365141682948128
reibungslos,0.6931471805599453
warm,0.6931471805599453
aktuell,0.6931471805599453
wir,0.6931471805599453
groß,0.6365141682948128
gut,0.6365141682948128
machen,0.6365141682948128
führen,0.6931471805599453
