lemma,shannon
der,1.509784608655021
global,0.9502705392332347
sein,1.2293437683631228
viel,0.6365141682948128
finden,0.410116318288409
dies,1.3994886078590607
stehen,0.6365141682948128
aktuell,0.6931471805599453
ein,0.9779252266210214
ihr,0.8305178252872478
haben,1.0042424730540764
organisieren,0.6931471805599453
bringen,0.6365141682948128
sie,0.3250829733914482
werden,0.6365141682948128
schweizerisch,1.0114042647073516
alle,1.0549201679861442
können,0.5297061990576545
schnell,0.6931471805599453
gestalten,0.6931471805599453
betroffen,0.6365141682948128
medizinisch,0.5004024235381879
begrenzt,0.6931471805599453
stellen,0.6931471805599453
entwickeln,0.6931471805599453
weit,0.6931471805599453
gut,0.6931471805599453
wir,0.6365141682948128
international,0.6365141682948128
gemeinsam,0.5623351446188083
müssen,0.5004024235381879
sicher,0.6931471805599453
