system,file,shannon,simpson
human,1,99.72552018652776,42.01244277314959
human,10,82.99482410883365,47.967954638421475
human,100,87.8507647292622,46.41259996868348
human,11,89.20366527533623,45.18911455381837
human,12,83.41468497860586,47.25770239174311
human,13,96.53981999677696,42.506585717278874
human,14,81.78729539560055,47.506101394604485
human,15,90.30911911714094,43.927562014543135
human,16,90.02661273955967,45.86437320033333
human,17,88.84924795414227,45.18232180678455
human,18,88.93437449046488,45.9941989999183
human,19,85.39194085108866,46.12457924550794
human,2,91.97094920867364,43.15373681180756
human,20,90.47860343215423,46.30323981348738
human,21,84.39607075308332,46.63400941179386
human,22,78.54706136346813,49.07351263658947
human,23,88.18875141642926,46.181535778206616
human,24,82.15453122771628,47.938977852341274
human,25,84.2200280670794,47.29935806197451
human,26,90.06222834976603,44.87808188612947
human,27,89.8523417457631,45.87434316958478
human,28,90.44838694425553,43.87333049886622
human,29,88.37418341711808,46.06129519761436
human,3,93.61343937724273,42.82494069334367
human,30,89.63190406237601,46.23309771785932
human,31,91.91712842936087,44.71552834096602
human,32,83.53481705017275,47.770251115819775
human,33,83.4448430452632,46.279240182397885
human,34,87.0062634597108,46.012614317435194
human,35,95.81490323184069,42.80517495489166
human,36,87.01871260339223,46.34795828619653
human,37,87.99163642693794,45.55251750170968
human,38,84.11900371897264,46.276459885045746
human,39,86.50669643430588,46.291493536472764
human,4,95.83948733646801,43.177189231385036
human,40,89.0149197310102,44.5403666074386
human,41,89.05473832746725,46.72806838524884
human,42,90.96832022950278,43.114533016051226
human,43,84.55914848568399,47.63985928504837
human,44,83.59713763511898,48.05487999662675
human,45,90.82018912943882,44.58286539137294
human,46,89.00240228275915,43.912391335278485
human,47,89.30787063741484,44.29492281704543
human,48,83.15163258987471,49.018735045114795
human,49,91.726288432007,44.6803637901291
human,5,82.35779310982163,48.0974616710122
human,50,87.82611203403256,46.18909246603008
human,51,84.6823956297625,48.36743397061297
human,52,88.61170331367818,44.57883505660195
human,53,86.68109845030587,45.984998447456064
human,54,88.67795660374856,44.41537770118781
human,55,95.4046632846765,43.1347639676646
human,56,99.26404688031018,41.087037037037035
human,57,88.68903661285596,45.524971993774344
human,58,91.23963355707735,44.82429794467735
human,59,94.02058323484526,43.66837577323619
human,6,97.58228376311233,42.364098665102375
human,60,88.95780443061534,45.272997476220176
human,61,89.08428251161233,45.40666492005525
human,62,88.14779526647551,46.54413743138728
human,63,96.40337398814268,42.10554909433685
human,64,79.84598065228577,49.23029705652296
human,65,84.13375606176916,48.51947020820786
human,66,84.60318465752246,49.25942713095382
human,67,83.29342839292542,47.825519736781466
human,68,81.33186980363043,48.727850536443135
human,69,88.03414432726672,45.93576142578243
human,7,89.67767913079051,44.67705036581695
human,70,78.83645924267752,50.134585303598854
human,71,94.90929650482207,43.931781008272914
human,72,92.68895623164325,43.7449170061905
human,73,88.44550065680825,46.52263849926126
human,74,97.8550040123417,42.930527574119694
human,75,95.25542261251766,42.15385094115684
human,76,88.69541961782863,45.70949541079411
human,77,98.82319943585772,43.15954842453105
human,78,86.67895083386917,46.89185243558445
human,79,91.1436700149284,44.049907584611404
human,8,84.29300539129846,46.51819456288342
human,80,93.15138241971901,45.3370987654321
human,81,96.49534950787701,42.28001844370372
human,82,89.17361426871783,44.315348232473454
human,83,86.82070486684222,45.80068746564655
human,84,87.96914754020383,45.410566772237146
human,85,87.4292591335901,45.07882436808274
human,86,80.84359408358691,47.88351413232013
human,87,95.31698726292103,42.89281085518729
human,88,88.74821792845631,44.7460106589545
human,89,92.96904847185776,43.81539128409122
human,9,89.0137490858101,44.435154811944436
human,90,85.3627427713049,45.64484180109238
human,91,90.5756388246736,44.84357094643985
human,92,93.91139125837401,43.75959011561778
human,93,96.69341019378477,41.63563729941661
human,94,93.46227797219535,43.62438870292408
human,95,83.08888409642361,45.90110434968272
human,96,83.56866658193286,49.038206817118386
human,97,88.68828852749458,44.930624718292606
human,98,86.4131776444718,45.70140776831605
human,99,84.68111032765286,47.14754053671672
continue,1,90.9936696966892,45.28037432135478
continue,10,92.89504886200851,43.21155131326178
continue,100,95.13457116807105,43.70053037656667
continue,11,84.43634275401108,47.456666985915255
