corpus,system,B1,B2,B3
20min,continue,66.32,8.57,25.11
20min,create,66.29,8.84,24.87
20min,explain,65.91,8.31,25.78
20min,human,58.77,7.88,33.34
cnn,continue,64.89,10.15,24.96
cnn,create,64.41,10.38,25.21
cnn,explain,65.54,9.82,24.64
cnn,human,62.75,8.36,28.88
cs_de,continue,67.99,8.83,23.18
cs_de,create,65.64,8.66,25.7
cs_de,explain,68.28,8.22,23.5
cs_de,human,69.92,7.29,22.79
cs_en,continue,70.54,10.47,19.0
cs_en,create,65.54,10.75,23.71
cs_en,explain,69.32,9.63,21.04
cs_en,human,76.66,8.29,15.05
e3c,continue,73.79,9.68,16.52
e3c,create,71.83,10.19,17.98
e3c,explain,69.85,9.63,20.52
e3c,human,67.18,9.1,23.72
ggponc,continue,73.12,8.58,18.29
ggponc,create,73.2,8.81,17.98
ggponc,explain,71.04,8.31,20.65
ggponc,human,64.2,7.55,28.25
pubmed_de,continue,69.67,8.99,21.34
pubmed_de,create,70.69,9.27,20.04
pubmed_de,explain,70.06,8.53,21.41
pubmed_de,human,61.14,8.16,30.7
pubmed_en,continue,70.14,10.15,19.7
pubmed_en,create,70.14,10.4,19.45
pubmed_en,explain,70.86,9.67,19.47
pubmed_en,human,64.89,9.17,25.94
zora_de,continue,82.32,12.88,4.8
zora_de,create,78.58,12.92,8.5
zora_de,explain,79.87,13.93,6.2
zora_de,human,67.16,12.71,20.13
zora_en,continue,87.06,12.94,0.0
zora_en,create,86.76,13.24,0.0
zora_en,explain,85.01,13.61,1.39
zora_en,human,81.24,12.56,6.2
