feature,human-cont,human-full,create,continue,explain
pos_prop_ADJ,0.08310294652307353,0.08589660535686358,0.08591489086811435,0.08079907209271892,0.08475356187251944
pos_prop_PROPN,0.0626684810083168,0.06522876552513575,0.037706581267124006,0.04379130585147382,0.023181932488392027
pos_prop_NOUN,0.21383153645222736,0.21339461917166544,0.24774253442581404,0.2095399619931039,0.2107022821675711
pos_prop_PUNCT,0.14121483373603605,0.1388997081673728,0.12745658850626806,0.12066342901757317,0.11962047430384015
pos_prop_PART,0.011537339519406883,0.010779422110681374,0.012472899706370909,0.01592306269855104,0.01125638976822819
pos_prop_ADV,0.06722155006711797,0.06781269442286911,0.04113196160340417,0.07232292115910659,0.06640346012057408
pos_prop_ADP,0.1026795510795993,0.10304469460454424,0.08853983077112296,0.0834490063421072,0.09802403011953412
pos_prop_PRON,0.015728174860812873,0.01642691115985421,0.027952043810275107,0.029825956897209682,0.034866370778678935
pos_prop_NUM,0.026435480622696073,0.02597689570906282,0.0125463765906936,0.015798000680419495,0.018294115032303878
pos_prop_VERB,0.05864533885286336,0.05744658158794552,0.07757471049821074,0.06837124700603747,0.07845298524709254
pos_prop_AUX,0.05025360576319789,0.04775614336327923,0.045939197452103,0.056213325942117656,0.0636617283137294
pos_prop_DET,0.11942151473781186,0.1189581335156128,0.14181095332795815,0.13911807858980824,0.14114657419602222
pos_prop_CCONJ,0.024784042146280744,0.026611330666391812,0.039491537117419276,0.047521018222121084,0.027449376052088536
pos_prop_X,0.013251782300623075,0.013001515355274607,0.007702962494602381,0.016927190456602223,0.005218314609324998
pos_prop_SCONJ,0.00922382232993625,0.008765979283446742,0.011607391876498901,0.01621193759717864,0.025329713864886954
n_stop_words,345.6,324.6,168.2,73.0,170.6
alpha_ratio,0.8026019430187228,0.806571196677352,0.8607549351588724,0.8536279323009932,0.8682951162471871
mean_word_length,5.79036671853486,5.85508470272268,5.984667633998622,5.992746986495428,6.006370036704038
doc_length,989.0,915.2,440.0,170.8,379.4
duplicate_ngram_chr_fraction_5,0.027089975517673753,0.021806267011684567,0.0666704837266591,0.08524383287723658,0.06521019868946057
top_ngram_chr_fraction_2,0.009524284180514991,0.009390967205906875,0.012549604647771818,0.016318300447317198,0.012186863458174107
top_ngram_chr_fraction_3,0.008743599966848491,0.008162596505032222,0.014509428585765715,0.03990296382664297,0.017148844515592482
top_ngram_chr_fraction_4,0.0062738184123234,0.006273644927100183,0.023636297942998374,,0.022812564526152924
oov_ratio,0.08240154733198857,0.08911073936266001,0.05466910739877079,0.07903257609997376,0.06750054231139814
flesch_reading_ease,-15.559180405712862,-17.373670376279335,-4.113299713158551,-12.74225439559271,-13.36674278901774
flesch_kincaid_grade,19.86349751837121,20.048449012955352,17.207223819572967,19.18003708726099,19.674802801319068
smog,17.861727441715004,17.832317751046144,15.914155853457356,17.468839746691465,17.96555340244894
gunning_fog,22.086384487193698,22.197504629925515,20.212510611342356,21.86762317614611,22.061407954835044
automated_readability_index,19.21922670215188,19.343587567907896,16.96399182537568,18.565255855673872,19.313871339124898
coleman_liau_index,22.119099413285326,22.398471683844935,21.454151635331023,21.846886688102664,22.00848092109505
lix,59.81923914872978,59.97301625822733,56.39226038004006,58.40401623061941,59.49822544425592
rix,7.5254832394153865,7.463016263016263,5.8446787747357005,7.038095238095238,7.574179566563467
dependency_distance_mean,3.154386337245007,3.0749469322535257,2.6047618795421625,2.976106983356743,3.297773398520146
dependency_distance_std,1.1724125802075238,1.1367146280590419,0.8514354574655675,0.9216411477630476,0.80099181094064
prop_adjacent_dependency_relation_mean,0.45223201064338997,0.454023934261612,0.4525828802668402,0.4423597127047043,0.4610825187083619
prop_adjacent_dependency_relation_std,0.0894580466317285,0.09263889732864747,0.1078430320840329,0.09411985312774176,0.08105390722284443
first_order_coherence,0.489536258804632,0.48779905583875377,0.45783476240606086,0.5383273070682456,0.6614948436042303
