connective,human_upper,HU-CO,HU-EX,HU-CR
dabei,32,-46,-30,-24
so,31,23,31,30
darüber hinaus,23,-66,-31,-91
zudem,22,-51,-14,-7
aufgrund,19,8,5,10
wie,16,9,11,3
seit,16,13,12,11
als,15,9,4,9
während,15,3,5,-6
da,14,2,-6,5
trotz,14,-6,2,-21
daher,12,-8,-17,-9
allerdings,10,-31,-13,-13
des weiteren,9,-24,-17,-8
dadurch,7,-28,-8,-4
dennoch,7,-16,-16,-14
obwohl,6,-10,-16,-41
auch wenn,6,6,5,6
wenn,5,-2,0,-1
zwar,5,5,5,5
außerdem,5,1,-1,2
aber,4,4,4,4
somit,4,3,4,3
zusätzlich,4,-25,-14,-20
denn,4,-3,3,4
dafür,3,-1,-2,3
deshalb,3,3,0,3
allein,3,3,2,3
ferner,3,3,3,1
zunächst,2,-7,-8,-5
indem,0,-10,-1,-26
ob,2,2,1,2
ebenfalls,2,2,2,2
inzwischen,2,2,-1,2
dagegen,2,2,1,2
infolgedessen,2,2,-1,1
weder,2,2,2,2
trotzdem,2,0,-2,-2
zugleich,2,1,2,2
danach,2,2,2,1
nachdem,2,2,-1,1
seither,2,2,2,2
hierdurch,2,1,2,2
aus diesem grund,2,-5,-1,0
demgegenüber,2,2,2,1
hiernach,2,2,2,2
deswegen,2,2,2,2
beispielsweise,1,-2,0,-3
zu dem beispiel,1,-8,-3,-1
darauf,1,1,1,1
weiterhin,1,-3,-8,-1
doch,1,-3,-1,-1
statt,1,1,1,1
weil,1,1,1,1
infolge,1,1,1,1
hingegen,1,1,1,1
inwieweit,1,1,1,-1
sofern,1,1,1,1
warum,1,1,1,1
außer,1,1,1,1
vielmehr,1,-2,-3,-1
seitdem,1,-2,-1,1
bevor,1,1,1,1
insofern,1,1,1,1
währenddessen,1,1,1,1
dessen ungeachtet,1,1,1,1
gleichwohl,1,1,1,1
sondern,0,0,0,0
also,0,0,0,0
dann,0,0,-1,0
sodass,0,0,0,0
andererseits,0,-1,-3,-1
weshalb,0,0,0,0
ohnehin,0,0,0,0
wenngleich,0,0,0,0
zuvor,0,0,0,0
nämlich,0,0,0,0
wegen,0,0,-1,0
weswegen,0,0,0,0
folglich,0,0,0,0
später,0,0,0,0
wenn auch,0,0,0,0
darum,0,0,0,0
obgleich,0,0,0,0
überdies,0,0,0,0
beziehungsweise,0,0,0,0
worauf,0,0,0,0
daraufhin,0,0,-1,0
womit,0,0,0,0
vorher,0,0,0,0
inwiefern,0,0,0,-3
entgegen,0,0,0,0
allenfalls,0,0,0,0
sobald,0,0,0,0
wogegen,0,0,0,0
sonst,0,0,0,0
mithin,0,0,0,0
zumal,0,0,0,0
wonach,0,0,0,0
falls,0,-1,-1,0
ansonsten,0,0,0,0
anstatt,0,-1,0,0
