connective,hu-co,hu-ex,hu-cr
als,48,39,51
wie,-98,-137,-80
aber,103,95,115
dabei,-97,-46,-45
seit,55,26,57
so,-5,61,46
da,-20,-18,-9
aufgrund,12,-15,21
sondern,-8,-11,-11
wenn,17,17,26
daher,-56,-30,-65
während,-37,-68,-74
somit,-40,5,-31
zudem,-54,-15,2
also,20,13,28
beispielsweise,-46,-11,-7
allerdings,-14,4,6
zunächst,7,-6,6
darüber hinaus,-64,-31,-89
dann,18,0,19
ob,2,-19,-6
trotz,-7,-7,-23
ebenfalls,-18,0,6
dadurch,-25,-3,0
zum beispiel,-20,-11,11
zwar,13,10,18
dafür,-4,-18,9
obwohl,-5,-17,-34
darauf,-72,-238,-91
weiterhin,-16,-33,-7
deshalb,12,10,12
zusätzlich,-20,-11,-14
dennoch,-12,-14,-12
doch,6,9,9
statt,7,5,8
indem,-10,-7,-33
des weiteren,-24,-18,-8
allein,6,3,3
sodass,6,7,8
weil,9,6,9
außerdem,-1,-2,1
auch wenn,7,6,7
denn,1,7,7
inzwischen,8,4,8
infolge,3,3,6
dagegen,6,5,7
hingegen,-5,-2,2
inwieweit,5,4,2
andererseits,2,1,3
sofern,4,4,5
trotzdem,3,-1,1
infolgedessen,5,2,4
weder,5,4,4
vielmehr,0,-1,1
nachdem,3,0,2
nämlich,4,1,2
ferner,4,4,2
warum,3,-2,3
weshalb,0,3,3
danach,4,3,3
zugleich,3,4,3
seitdem,1,0,4
zuvor,4,2,4
außer,3,3,4
ohnehin,4,4,4
wenngleich,4,4,4
wegen,3,2,2
bevor,-2,3,2
folglich,3,3,2
hierdurch,2,3,3
weswegen,3,3,3
insofern,3,3,3
seither,3,3,3
aus diesem grund,-5,-1,0
darum,-8,-7,1
demgegenüber,2,2,1
später,1,1,2
wenn auch,1,2,2
hiernach,2,2,2
deswegen,2,2,2
inwiefern,0,-2,-7
daraufhin,-1,0,-1
entgegen,0,1,0
beziehungsweise,1,1,0
vorher,-1,1,1
sobald,0,1,1
obgleich,1,1,1
überdies,1,1,1
worauf,1,1,1
währenddessen,1,1,1
womit,1,1,1
dessen ungeachtet,1,1,1
allenfalls,1,1,1
gleichwohl,1,1,1
wogegen,1,1,1
sonst,1,1,1
mithin,1,1,1
zumal,1,1,1
falls,-1,-1,-2
anstatt,-3,-1,-1
ansonsten,-1,-1,0
wonach,0,-1,0
