connective,human_upper,human_total,continue_upper,continue_total,explain_upper,explain_total,create_upper,create_total
als,15,362,6,314,11,323,6,311
wie,16,233,7,331,5,370,13,313
aber,4,120,0,17,0,25,0,5
dabei,32,76,78,173,62,122,56,121
seit,16,70,3,15,4,44,5,13
so,31,67,8,72,0,6,1,21
aufgrund,19,52,11,40,14,67,9,31
da,14,52,12,72,20,70,9,61
wenn,5,49,7,32,5,32,6,23
sondern,0,49,0,57,0,60,0,60
daher,12,46,20,102,29,76,21,111
während,15,44,12,81,10,112,21,118
zudem,22,34,73,88,36,49,29,32
somit,4,34,1,74,0,29,1,65
also,0,32,0,12,0,19,0,4
beispielsweise,1,30,3,76,1,41,4,37
allerdings,10,29,41,43,23,25,23,23
zunächst,2,27,9,20,10,33,7,21
dann,0,25,0,7,1,25,0,6
darüber hinaus,23,25,89,89,54,56,114,114
ob,2,22,0,20,1,41,0,28
trotz,14,21,20,28,12,28,35,44
ebenfalls,2,21,0,39,0,21,0,15
zum beispiel,1,20,9,40,4,31,2,9
dadurch,7,20,35,45,15,23,11,20
zwar,5,20,0,7,0,10,0,2
dafür,3,18,4,22,5,36,0,9
obwohl,6,17,16,22,22,34,47,51
darauf,1,16,0,88,0,254,0,107
weiterhin,1,14,4,30,9,47,2,21
deshalb,3,13,0,1,3,3,0,1
zusätzlich,4,12,29,32,18,23,24,26
doch,1,12,4,6,2,3,2,3
dennoch,7,12,23,24,23,26,21,24
statt,1,11,0,4,0,6,0,3
indem,0,10,10,20,1,17,26,43
sodass,0,9,0,3,0,2,0,1
allein,3,9,0,3,1,6,0,6
des weiteren,9,9,33,33,26,27,17,17
weil,1,9,0,0,0,3,0,0
inzwischen,2,8,0,0,3,4,0,0
denn,4,8,7,7,1,1,0,1
auch wenn,6,8,0,1,1,2,0,1
außerdem,5,8,4,9,6,10,3,7
dagegen,2,7,0,1,1,2,0,0
infolge,1,7,0,4,0,4,0,1
andererseits,0,6,1,4,3,5,1,3
hingegen,1,6,0,11,0,8,0,4
inwieweit,1,6,0,1,0,2,2,4
sofern,1,6,0,2,0,2,0,1
infolgedessen,2,5,0,0,3,3,1,1
weder,2,5,0,0,0,1,0,1
trotzdem,2,5,2,2,4,6,4,4
zugleich,2,4,1,1,0,0,0,1
weshalb,0,4,0,4,0,1,0,1
warum,1,4,0,1,0,6,0,1
ohnehin,0,4,0,0,0,0,0,0
außer,1,4,0,1,0,1,0,0
danach,2,4,0,0,0,1,1,1
wenngleich,0,4,0,0,0,0,0,0
vielmehr,1,4,3,4,4,5,2,3
zuvor,0,4,0,0,0,2,0,0
ferner,3,4,0,0,0,0,2,2
nämlich,0,4,0,0,0,3,0,2
seitdem,1,4,3,3,2,4,0,0
nachdem,2,4,0,1,3,4,1,2
wegen,0,3,0,0,1,1,0,1
weswegen,0,3,0,0,0,0,0,0
bevor,1,3,0,5,0,0,0,1
insofern,1,3,0,0,0,0,0,0
folglich,0,3,0,0,0,0,0,1
seither,2,3,0,0,0,0,0,0
hierdurch,2,3,1,1,0,0,0,0
später,0,2,0,1,0,1,0,0
aus diesem grund,2,2,7,7,3,3,2,2
demgegenüber,2,2,0,0,0,0,1,1
wenn auch,0,2,0,1,0,0,0,0
hiernach,2,2,0,0,0,0,0,0
deswegen,2,2,0,0,0,0,0,0
darum,0,2,0,10,0,9,0,1
obgleich,0,1,0,0,0,0,0,0
überdies,0,1,0,0,0,0,0,0
beziehungsweise,0,1,0,0,0,0,0,1
worauf,0,1,0,0,0,0,0,0
währenddessen,1,1,0,0,0,0,0,0
daraufhin,0,1,0,2,1,1,0,2
womit,0,1,0,0,0,0,0,0
vorher,0,1,0,2,0,0,0,0
inwiefern,0,1,0,1,0,3,3,8
dessen ungeachtet,1,1,0,0,0,0,0,0
entgegen,0,1,0,1,0,0,0,1
allenfalls,0,1,0,0,0,0,0,0
gleichwohl,1,1,0,0,0,0,0,0
sobald,0,1,0,1,0,0,0,0
wogegen,0,1,0,0,0,0,0,0
sonst,0,1,0,0,0,0,0,0
mithin,0,1,0,0,0,0,0,0
zumal,0,1,0,0,0,0,0,0
wonach,0,0,0,0,0,1,0,0
falls,0,0,1,1,1,1,0,2
ansonsten,0,0,0,1,0,1,0,0
anstatt,0,0,1,3,0,1,0,1
