connective,ashuman_upper,ashuman_total,asmachine_upper,asmachine_total,human_upper,human_total
als,7,300,7,305,14,337
während,22,61,38,76,14,43
darauf,1,63,1,61,1,15
außerdem,6,12,13,15,5,8
weiterhin,10,45,11,59,1,14
trotz,41,74,46,63,13,20
so,24,84,25,80,29,63
wie,12,231,10,256,15,216
da,9,35,8,28,14,46
daher,34,94,33,91,10,40
wenn,5,35,4,47,3,43
dabei,26,109,37,111,31,72
zu dem beispiel,5,20,5,30,1,20
allerdings,8,23,18,26,8,25
also,0,20,0,11,0,26
dafür,3,26,3,21,2,17
obwohl,20,23,27,32,6,17
seit,0,9,1,5,14,66
ebenfalls,4,24,2,18,1,14
doch,10,24,10,22,0,6
sondern,0,106,0,81,0,48
zusätzlich,14,19,7,10,4,12
aber,7,53,5,36,4,104
aufgrund,1,21,8,30,19,49
beispielsweise,4,31,4,44,1,29
warum,1,2,,,1,4
dann,0,6,0,10,0,18
wenn auch,0,1,0,2,0,2
denn,15,26,6,12,4,6
trotzdem,6,6,5,6,2,4
somit,6,38,1,18,2,31
darüber hinaus,58,66,65,71,23,25
indem,3,25,6,19,0,10
dadurch,5,17,3,12,7,19
zudem,27,39,20,29,20,30
ob,1,13,1,19,1,20
darum,0,11,0,10,0,2
infolge,2,4,0,1,1,7
außer,0,6,0,3,1,3
zunächst,4,9,4,6,2,27
andererseits,3,9,6,15,0,6
statt,1,10,2,4,1,11
vielmehr,1,10,1,8,1,4
falls,1,1,,,,
hierdurch,5,5,,,2,3
dagegen,0,3,,,2,7
auch wenn,6,8,5,6,5,7
allein,0,11,0,2,3,8
zwar,1,11,3,10,4,15
nämlich,0,3,0,1,0,2
deswegen,1,1,,,1,1
überdies,0,1,1,1,0,1
des weiteren,9,9,9,9,9,9
dennoch,11,14,12,20,7,11
deshalb,4,6,6,10,2,12
wegen,0,3,0,3,0,3
zugleich,2,3,1,4,2,4
hingegen,0,1,0,5,1,6
gleichwohl,2,2,2,3,1,1
danach,0,2,0,2,2,3
ferner,2,3,4,4,3,4
anstatt,0,2,0,1,,
sobald,0,1,1,1,0,1
infolgedessen,3,3,1,1,2,3
weder,0,2,0,2,1,4
seitdem,0,1,1,1,1,3
sodass,0,2,0,1,0,8
inzwischen,1,1,,,2,8
bevor,0,3,0,3,1,3
inwiefern,0,3,1,3,0,1
insofern,2,2,,,1,3
daraufhin,0,1,,,0,1
vorher,0,1,0,1,0,1
zuvor,0,1,1,3,0,4
später,0,1,,,0,2
sonst,0,1,0,1,0,1
entgegen,0,1,1,2,0,1
weil,0,1,0,2,0,5
aus diesem grund,1,1,,,2,2
sofern,,,0,3,1,5
andernfalls,,,0,1,,
weshalb,,,0,1,0,4
womit,,,0,1,0,1
beziehungsweise,,,0,1,0,1
folglich,,,2,2,0,3
inwieweit,,,1,1,1,6
dessen ungeachtet,,,,,1,1
ohnehin,,,,,0,4
wenngleich,,,,,0,2
nachdem,,,,,2,4
seither,,,,,2,3
wogegen,,,,,0,1
worauf,,,,,0,1
währenddessen,,,,,1,1
demgegenüber,,,,,2,2
mithin,,,,,0,1
allenfalls,,,,,0,1
weswegen,,,,,0,2
obgleich,,,,,0,1
zumal,,,,,0,1
