connective,ashuman_upper,ashuman_total,asmachine_upper,asmachine_total,human_upper,human_total
as,36,532,25,458,31,691
yet,12,62,10,32,1,20
when,2,67,3,56,5,56
thus,9,66,15,64,26,45
if,2,16,1,21,4,18
while,32,191,31,157,23,73
but,3,153,2,107,1,95
also,7,185,8,132,11,196
finally,8,10,7,11,4,8
once,3,5,1,5,0,6
however,68,95,61,86,103,122
in addition,18,18,6,6,41,46
still,1,32,3,26,3,30
after,5,17,2,29,5,58
moreover,50,50,41,41,36,36
therefore,12,22,12,23,54,71
because,1,15,1,13,9,39
before,1,31,0,26,1,14
indeed,5,16,1,14,8,9
then,1,8,0,6,2,15
so that,0,2,,,0,1
until,0,7,0,5,0,8
in turn,3,6,0,2,0,6
nonetheless,4,6,7,7,,
instead,0,8,1,11,2,6
previously,0,13,0,3,1,8
nevertheless,7,12,5,8,11,11
for instance,14,16,13,16,10,16
on the other hand,2,4,1,3,11,12
since,1,17,0,10,8,27
meanwhile,3,4,2,3,4,4
though,0,9,4,18,2,14
later,0,7,0,5,0,7
although,16,24,11,16,26,47
for example,2,4,2,3,24,31
just as,0,2,0,2,,
even though,1,3,2,2,1,7
otherwise,0,3,0,7,0,1
separately,0,1,,,,
as a result,1,1,0,1,6,9
in fact,1,1,1,1,3,4
even if,,,0,1,1,1
by contrast,,,1,1,1,1
as long as,,,,,0,1
unless,,,,,0,1
as soon as,,,,,1,2
now that,,,,,1,1
