system,file,TTR,Yules,MTLD
continue,1,50.12,3352.07,168.57
continue,10,49.06,4065.32,171.04
continue,2,52.94,4114.23,115.15
continue,3,42.36,2828.64,150.13
continue,4,47.29,3499.62,142.2
continue,5,51.82,4077.65,156.84
continue,6,42.51,2627.97,136.81
continue,7,57.09,5272.51,167.86
continue,8,46.71,3393.97,153.38
continue,9,53.97,4534.43,150.41
create,1,49.34,3824.95,179.55
create,10,41.02,2809.43,135.8
create,2,50.05,4445.18,177.94
create,3,58.86,6682.51,176.12
create,4,48.03,4358.95,145.97
create,5,55.27,5335.8,197.58
create,6,43.7,2922.96,150.53
create,7,46.53,3543.96,212.08
create,8,43.97,3168.78,162.16
create,9,45.39,3481.42,182.84
explain,1,48.86,3045.96,152.17
explain,10,47.43,3345.13,150.84
explain,2,54.29,5533.97,277.96
explain,3,62.52,7464.65,185.06
explain,4,47.04,3158.44,117.73
explain,5,50.51,4515.51,146.96
explain,6,50.08,3738.59,141.53
explain,7,53.26,4514.69,170.69
explain,8,56.03,4920.92,170.07
explain,9,51.93,4595.05,156.4
human,1,59.59,4584.77,125.33
human,10,58.19,5008.62,122.36
human,2,63.33,4681.99,159.01
human,3,67.16,11028.6,277.54
human,4,54.77,4928.38,104.79
human,5,58.72,6960.62,160.36
human,6,67.98,8701.18,258.47
human,7,55.53,4620.64,275.12
human,8,59.42,5203.44,199.6
human,9,64.76,6940.34,151.27
