lemma,shannon
der,1.6090985685997485
erheblich,0.6931471805599453
haben,0.6931471805599453
Land,0.6365141682948128
sein,0.5623351446188083
stark,0.6365141682948128
führen,0.6931471805599453
dies,0.6365141682948128
ihr,0.6365141682948128
ein,1.277034259466139
streng,0.6365141682948128
grün,0.6365141682948128
neu,1.0986122886681096
werden,0.6365141682948128
können,0.6931471805599453
erhöhen,0.6931471805599453
nachhaltig,0.6931471805599453
dringend,0.6931471805599453
bestehen,0.6931471805599453
