lemma,shannon
groß,0.6365141682948128
der,1.645032060083364
sein,1.4750763110546947
bunt,0.6931471805599453
ein,1.6020559154587264
stehen,0.6931471805599453
werden,0.5623351446188083
dies,0.9556998911125343
gut,0.6931471805599453
lernen,0.6931471805599453
gemeinschaftlich,0.6931471805599453
ganz,0.6931471805599453
nah,0.6931471805599453
gemeinsam,0.6365141682948128
lokal,0.6365141682948128
eigen,1.0397207708399179
aufbauen,0.6931471805599453
wir,0.5004024235381879
endlos,0.6931471805599453
ihr,0.5623351446188083
haben,0.6931471805599453
können,0.6931471805599453
unser,1.0986122886681096
nachhaltig,0.6931471805599453
