connective,machine_total,human_total,machine_cap,human_cap
soweit,0,3,0,0
allerdings,6,27,6,14
da,99,43,2,18
dann,10,53,0,6
hiernach,0,0,0,0
dadurch,18,6,13,1
weder,0,3,0,0
anstelle dessen,0,0,0,0
dagegen,1,12,0,0
ansonsten,0,1,0,1
bevor,20,9,0,2
also,25,24,9,3
sodann,0,0,0,0
"vorausgesetzt , dass",0,0,0,0
"vorausgesetzt , daß",0,0,0,0
obgleich,0,0,0,0
obendrein,0,0,0,0
weiterhin,81,14,3,2
ausserdem,0,15,0,12
außerdem,12,0,8,0
infolgedessen,0,0,0,0
sonst,1,4,0,0
inzwischen,0,12,0,3
folglich,0,1,0,1
andererseits,0,4,0,2
anstatt,2,2,0,2
weshalb,1,7,0,1
ebenso wenig,0,1,0,1
aufgrund,20,16,2,4
dennoch,14,5,5,2
nebenher,0,0,0,0
hierdurch,0,0,0,0
dabei,25,34,11,10
desgleichen,0,0,0,0
zuvor,5,9,2,2
"ausser , dass",0,0,0,0
"ausser , daß",0,0,0,0
"außer , daß",0,0,0,0
hingegen,30,9,0,0
womit,0,1,0,1
allein,4,5,0,1
darauf,34,16,0,2
sodass,0,2,0,0
sodaß,0,0,0,0
sofern,1,2,0,0
"nur , dass",0,1,0,0
"nur , daß",0,0,0,0
soeben,0,0,0,0
deshalb,7,32,4,14
dessen ungeachtet,0,0,0,0
zugleich,0,1,0,0
obwohl,29,15,24,6
später,3,20,0,3
beispielsweise,14,13,0,2
zusätzlich,6,3,2,0
wegen,9,53,0,3
ohnehin,0,6,0,3
vorher,1,3,0,0
nichtsdestoweniger,0,0,0,0
trotzdem,6,12,5,5
ferner,0,0,0,0
hierauf,0,0,0,0
statt,6,13,1,2
nämlich,0,6,0,0
ob,113,39,2,13
wonach,0,2,0,0
während,54,31,18,10
weswegen,0,1,0,0
darüber hinaus,26,1,22,1
zumal,0,3,0,2
nachdem,3,12,2,8
so oder so,0,0,0,0
trotz,27,9,21,3
wie,244,195,8,46
deswegen,0,3,0,0
wenn,37,96,9,26
des weiteren,0,0,0,0
beziehungsweise,0,3,0,1
ergo,0,0,0,0
inwieweit,0,0,0,0
unterdessen,0,1,0,1
zunächst,1,7,1,1
ohnedies,0,0,0,0
falls,0,6,0,3
doch,47,53,39,28
infolge,1,0,0,0
woraufhin,0,0,0,0
ausser wenn,0,0,0,0
außer wenn,0,0,0,0
zum beispiel,0,0,0,0
zu dem beispiel,0,0,0,0
warum,6,15,0,12
daher,45,9,6,4
demgegenüber,0,0,0,0
ebenfalls,14,17,0,2
wogegen,0,0,0,0
mithin,0,0,0,0
seit,9,47,1,9
überdies,0,0,0,0
denn,14,32,6,19
obzwar,0,0,0,0
entgegen,0,2,0,1
inwiefern,1,0,1,0
zudem,45,26,43,14
seither,0,3,0,0
zwar,18,31,3,10
ausser,0,3,0,1
außer,0,0,0,0
so,53,204,0,41
aus diesem grund,0,0,0,0
daraufhin,1,3,0,0
allenfalls,0,2,0,1
darum,25,15,0,2
wenngleich,0,0,0,0
als,272,223,15,26
somit,26,4,5,0
weil,4,42,0,8
indem,25,2,17,0
insofern,0,1,0,0
währenddessen,1,0,1,0
gleichwohl,0,1,0,0
andernfalls,0,0,0,0
dafür,21,26,0,3
danach,0,14,0,4
worauf,2,1,0,0
sobald,4,3,1,3
seitdem,2,0,2,0
obschon,0,0,0,0
aber,66,183,13,37
sondern,53,16,0,0
vielmehr,0,1,0,1
wenn auch,0,1,0,0
auch wenn,5,8,3,2
