connective,machine_total,human_total,machine_cap,human_cap
soweit,0,0,0,0
allerdings,1,6,1,2
da,2,1,0,1
dann,0,3,0,0
hiernach,0,0,0,0
dadurch,1,0,1,0
weder,5,1,0,0
anstelle dessen,0,0,0,0
dagegen,0,0,0,0
ansonsten,0,0,0,0
bevor,0,0,0,0
also,3,6,0,0
sodann,0,0,0,0
"vorausgesetzt , dass",0,0,0,0
"vorausgesetzt , daß",0,0,0,0
obgleich,0,0,0,0
obendrein,0,0,0,0
weiterhin,2,0,0,0
ausserdem,0,0,0,0
außerdem,0,0,0,0
infolgedessen,0,0,0,0
sonst,0,0,0,0
inzwischen,0,1,0,1
folglich,0,0,0,0
andererseits,0,0,0,0
anstatt,0,0,0,0
weshalb,0,0,0,0
ebenso wenig,0,0,0,0
aufgrund,0,0,0,0
dennoch,2,0,0,0
nebenher,0,0,0,0
hierdurch,0,0,0,0
dabei,17,6,15,4
desgleichen,0,0,0,0
zuvor,0,2,0,0
"ausser , dass",0,0,0,0
"ausser , daß",0,0,0,0
"außer , daß",0,0,0,0
hingegen,1,1,0,0
womit,0,0,0,0
allein,0,3,0,0
darauf,10,0,0,0
sodass,0,2,0,0
sodaß,0,0,0,0
sofern,0,0,0,0
"nur , dass",0,0,0,0
"nur , daß",0,0,0,0
soeben,0,0,0,0
deshalb,0,1,0,0
dessen ungeachtet,0,0,0,0
zugleich,0,1,0,0
obwohl,4,1,4,0
später,0,4,0,0
beispielsweise,2,1,0,0
zusätzlich,2,0,2,0
wegen,1,0,0,0
ohnehin,0,0,0,0
vorher,0,0,0,0
nichtsdestoweniger,0,0,0,0
trotzdem,0,0,0,0
ferner,0,0,0,0
hierauf,0,1,0,0
statt,0,2,0,0
nämlich,1,1,0,0
ob,0,2,0,0
wonach,0,0,0,0
während,4,2,2,1
weswegen,0,0,0,0
darüber hinaus,3,0,3,0
zumal,0,0,0,0
nachdem,0,0,0,0
so oder so,0,0,0,0
trotz,0,2,0,0
wie,22,20,0,1
deswegen,0,0,0,0
wenn,0,8,0,2
des weiteren,0,0,0,0
beziehungsweise,0,0,0,0
ergo,0,0,0,0
inwieweit,0,0,0,0
unterdessen,0,0,0,0
zunächst,1,2,0,1
ohnedies,0,0,0,0
falls,0,0,0,0
doch,0,4,0,2
infolge,0,0,0,0
woraufhin,0,0,0,0
ausser wenn,0,0,0,0
außer wenn,0,0,0,0
zum beispiel,0,0,0,0
zu dem beispiel,0,0,0,0
warum,3,2,0,0
daher,5,3,0,1
demgegenüber,0,0,0,0
ebenfalls,2,1,0,0
wogegen,0,0,0,0
mithin,0,0,0,0
seit,0,5,0,0
überdies,0,0,0,0
denn,0,2,0,1
obzwar,0,0,0,0
entgegen,0,1,0,0
inwiefern,0,0,0,0
zudem,4,3,0,2
seither,0,0,0,0
zwar,5,1,0,0
ausser,0,0,0,0
außer,0,0,0,0
so,1,8,0,3
aus diesem grund,0,0,0,0
daraufhin,0,0,0,0
allenfalls,0,0,0,0
darum,1,0,0,0
wenngleich,0,0,0,0
als,51,56,0,1
somit,25,1,0,0
weil,0,0,0,0
indem,11,2,5,0
insofern,0,1,0,0
währenddessen,0,0,0,0
gleichwohl,0,0,0,0
andernfalls,0,0,0,0
dafür,7,2,0,1
danach,0,0,0,0
worauf,0,0,0,0
sobald,0,0,0,0
seitdem,1,0,1,0
obschon,0,0,0,0
aber,2,11,0,0
sondern,14,12,0,0
vielmehr,0,5,0,1
wenn auch,0,0,0,0
auch wenn,0,0,0,0
