connective,machine_total,human_total,machine_cap,human_cap
after,20,40,3,5
also,111,127,0,7
although,10,34,6,24
as,411,448,6,21
as a result,4,5,4,2
as if,0,0,0,0
as long as,0,1,0,0
as soon as,0,2,0,1
because,0,29,0,4
before,6,9,0,0
but,31,53,0,0
by contrast,0,1,0,1
even if,0,0,0,0
even though,0,6,0,2
finally,7,4,7,1
for example,7,20,7,18
for instance,2,9,2,7
however,119,76,119,63
if,2,11,0,2
in addition,19,24,17,22
indeed,1,8,0,7
in fact,0,3,0,2
instead,3,3,2,1
in turn,6,5,0,0
just as,0,0,0,0
later,0,6,0,0
meanwhile,0,2,0,2
moreover,15,20,15,20
nevertheless,2,4,2,4
nonetheless,3,0,3,0
now that,0,1,0,1
once,4,4,1,0
on the other hand,7,8,5,7
otherwise,0,1,0,0
previously,2,5,1,1
separately,0,0,0,0
since,1,17,1,3
so that,0,0,0,0
still,25,21,0,2
then,6,8,0,1
therefore,30,41,27,33
though,0,8,0,2
thus,1,26,0,13
unless,0,1,0,0
until,2,6,0,0
when,30,40,1,3
while,64,45,30,14
yet,6,12,0,0
