connective,machine_total,human_total,machine_cap,human_cap
after,0,3,0,1
also,11,14,0,0
although,0,3,0,0
as,32,59,1,2
as a result,0,0,0,0
as if,0,0,0,0
as long as,0,0,0,0
as soon as,0,0,0,0
because,0,0,0,0
before,0,1,0,0
but,5,11,0,0
by contrast,0,1,0,0
even if,0,0,0,0
even though,0,0,0,0
finally,5,0,5,0
for example,1,4,1,4
for instance,1,4,1,3
however,14,8,14,6
if,0,3,0,2
in addition,0,2,0,1
indeed,2,0,0,0
in fact,0,2,0,0
instead,1,0,1,0
in turn,0,0,0,0
just as,0,0,0,0
later,1,0,0,0
meanwhile,0,0,0,0
moreover,0,2,0,2
nevertheless,1,1,1,0
nonetheless,0,0,0,0
now that,0,0,0,0
once,0,0,0,0
on the other hand,1,0,1,0
otherwise,0,0,0,0
previously,1,1,0,0
separately,0,0,0,0
since,0,6,0,3
so that,0,0,0,0
still,0,4,0,1
then,2,2,0,0
therefore,0,2,0,0
though,0,1,0,0
thus,0,3,0,0
unless,0,0,0,0
until,0,0,0,0
when,1,14,0,2
while,9,3,2,2
yet,0,0,0,0
