connective,machine_total,human_total,machine_cap,human_cap
soweit,0,0,0,0
allerdings,27,16,27,4
da,44,33,11,10
dann,4,15,0,0
hiernach,0,0,0,0
dadurch,24,15,22,6
weder,0,1,0,0
anstelle dessen,0,0,0,0
dagegen,0,5,0,2
ansonsten,0,0,0,0
bevor,2,1,0,0
also,2,20,0,0
sodann,0,0,0,0
"vorausgesetzt , dass",0,0,0,0
"vorausgesetzt , daß",0,0,0,0
obgleich,0,0,0,0
obendrein,0,0,0,0
weiterhin,30,11,1,1
ausserdem,0,0,0,0
außerdem,2,6,2,3
infolgedessen,0,3,0,2
sonst,0,0,0,0
inzwischen,0,8,0,3
folglich,0,2,0,0
andererseits,3,6,1,0
anstatt,0,0,0,0
weshalb,1,4,0,0
ebenso wenig,0,0,0,0
aufgrund,31,42,10,17
dennoch,11,7,10,5
nebenher,0,0,0,0
hierdurch,0,1,0,0
dabei,75,58,46,22
desgleichen,0,0,0,0
zuvor,1,2,0,0
"ausser , dass",0,0,0,0
"ausser , daß",0,0,0,0
"außer , daß",0,0,0,0
hingegen,5,5,0,1
womit,0,1,0,0
allein,8,7,0,3
darauf,41,13,0,1
sodass,1,4,0,0
sodaß,0,0,0,0
sofern,0,2,0,0
"nur , dass",0,0,0,0
"nur , daß",0,0,0,0
soeben,0,0,0,0
deshalb,0,9,0,2
dessen ungeachtet,0,1,0,1
zugleich,0,4,0,2
obwohl,13,11,5,5
später,0,2,0,0
beispielsweise,45,25,0,0
zusätzlich,33,12,31,4
wegen,0,2,0,0
ohnehin,0,4,0,0
vorher,0,1,0,0
nichtsdestoweniger,0,0,0,0
trotzdem,4,3,4,1
ferner,0,2,0,1
hierauf,0,0,0,0
statt,1,6,0,0
nämlich,0,0,0,0
ob,13,14,0,0
wonach,0,0,0,0
während,48,33,5,12
weswegen,0,0,0,0
darüber hinaus,91,20,91,18
zumal,0,1,0,0
nachdem,1,2,0,1
so oder so,0,0,0,0
trotz,23,16,15,12
wie,157,163,0,14
deswegen,0,0,0,0
wenn,20,31,0,3
des weiteren,0,0,0,0
beziehungsweise,0,1,0,0
ergo,0,0,0,0
inwieweit,2,6,0,1
unterdessen,0,0,0,0
zunächst,2,20,1,2
ohnedies,0,0,0,0
falls,0,0,0,0
doch,0,2,0,0
infolge,2,8,0,2
woraufhin,0,0,0,0
ausser wenn,0,0,0,0
außer wenn,0,0,0,0
zum beispiel,0,0,0,0
zu dem beispiel,0,0,0,0
warum,1,3,0,1
daher,67,28,28,6
demgegenüber,0,2,0,2
ebenfalls,44,10,0,1
wogegen,0,0,0,0
mithin,0,1,0,0
seit,6,54,0,15
überdies,0,1,0,0
denn,3,7,3,5
obzwar,0,0,0,0
entgegen,0,1,0,0
inwiefern,0,1,0,0
zudem,57,26,53,19
seither,0,1,0,1
zwar,7,7,0,1
ausser,0,0,0,0
außer,1,3,0,1
so,29,53,1,26
aus diesem grund,0,0,0,0
daraufhin,0,0,0,0
allenfalls,0,1,0,0
darum,2,1,0,0
wenngleich,0,2,0,0
als,176,271,3,19
somit,39,21,0,2
weil,0,4,0,0
indem,12,7,3,0
insofern,0,2,0,1
währenddessen,0,1,0,1
gleichwohl,0,0,0,0
andernfalls,1,0,1,0
dafür,8,12,5,1
danach,2,2,0,2
worauf,0,1,0,0
sobald,0,1,0,0
seitdem,0,3,0,1
obschon,0,0,0,0
aber,11,75,0,3
sondern,44,41,0,0
vielmehr,2,4,2,1
wenn auch,1,1,0,0
auch wenn,1,5,1,3
