connective,machine_total,human_total,machine_cap,human_cap
after,35,200,15,51
also,161,96,0,9
although,10,10,5,5
as,296,166,5,7
as a result,4,2,1,1
as if,0,0,0,0
as long as,0,0,0,0
as soon as,0,2,0,1
because,1,29,0,5
before,5,21,0,2
but,42,86,0,2
by contrast,0,1,0,0
even if,0,0,0,0
even though,0,1,0,0
finally,1,6,1,4
for example,0,0,0,0
for instance,0,1,0,1
however,74,51,73,31
if,39,3,5,0
in addition,28,15,28,8
indeed,2,2,0,1
in fact,0,0,0,0
instead,0,3,0,1
in turn,0,0,0,0
just as,0,1,0,0
later,1,41,0,1
meanwhile,1,3,1,2
moreover,0,4,0,4
nevertheless,0,1,0,0
nonetheless,0,0,0,0
now that,0,0,0,0
once,8,10,8,3
on the other hand,3,0,1,0
otherwise,3,8,0,2
previously,5,2,0,0
separately,1,2,0,0
since,3,32,1,6
so that,0,0,0,0
still,3,19,0,3
then,3,58,0,9
therefore,13,6,13,5
though,0,7,0,1
thus,1,13,0,6
unless,0,0,0,0
until,9,10,0,0
when,33,19,0,1
while,30,30,6,2
yet,0,7,0,1
