connective,machine_total,human_total,machine_cap,human_cap
after,21,92,1,18
also,174,75,0,1
although,3,7,3,3
as,497,310,91,31
as a result,6,2,3,0
as if,2,3,0,0
as long as,2,3,2,1
as soon as,2,1,0,0
because,1,50,1,0
before,16,44,0,1
but,177,235,33,108
by contrast,0,0,0,0
even if,3,3,1,1
even though,1,1,0,0
finally,4,6,0,2
for example,4,6,2,1
for instance,2,4,2,0
however,96,20,90,12
if,35,79,12,25
in addition,12,6,12,5
indeed,1,9,0,7
in fact,4,5,4,3
instead,11,14,6,7
in turn,0,1,0,0
just as,4,2,2,0
later,6,19,0,0
meanwhile,1,10,1,5
moreover,5,0,5,0
nevertheless,4,0,4,0
nonetheless,0,1,0,1
now that,0,2,0,0
once,11,15,1,2
on the other hand,4,0,3,0
otherwise,2,3,1,1
previously,2,3,0,0
separately,0,1,0,0
since,14,36,2,6
so that,0,3,0,0
still,38,51,0,4
then,11,49,0,8
therefore,1,6,1,0
though,2,14,0,4
thus,1,1,1,0
unless,0,4,0,0
until,4,17,1,2
when,27,110,2,27
while,88,53,44,15
yet,8,20,0,3
