connective,explain_upper,explain_total,continue_upper,continue_total,create_upper,create_total,human_upper,human_total
als,11,323,6,314,6,311,15,362
zudem,36,49,73,88,29,32,22,34
darauf,0,254,0,88,0,107,1,16
wie,5,370,7,331,13,313,16,233
dabei,62,122,78,173,56,121,32,76
allerdings,23,25,41,43,23,23,10,29
da,20,70,12,72,9,61,14,52
dadurch,15,23,35,45,11,20,7,20
daher,29,76,20,102,21,111,12,46
zusätzlich,18,23,29,32,24,26,4,12
also,0,19,0,12,0,4,0,32
somit,0,29,1,74,1,65,4,34
inwiefern,0,3,0,1,3,8,0,1
aufgrund,14,67,11,40,9,31,19,52
trotzdem,4,6,2,2,4,4,2,5
weiterhin,9,47,4,30,2,21,1,14
des weiteren,26,27,33,33,17,17,9,9
trotz,12,28,20,28,35,44,14,21
seit,4,44,3,15,5,13,16,70
wenn,5,32,7,32,6,23,5,49
infolge,0,4,0,4,0,1,1,7
dann,1,25,0,7,0,6,0,25
aber,0,25,0,17,0,5,4,120
ob,1,41,0,20,0,28,2,22
obwohl,22,34,16,22,47,51,6,17
sondern,0,60,0,57,0,60,0,49
zunächst,10,33,9,20,7,21,2,27
während,10,112,12,81,21,118,15,44
hingegen,0,8,0,11,0,4,1,6
dafür,5,36,4,22,0,9,3,18
außerdem,6,10,4,9,3,7,5,8
weil,0,3,,,,,1,9
darüber hinaus,54,56,89,89,114,114,23,25
darum,0,9,0,10,0,1,0,2
beispielsweise,1,41,3,76,4,37,1,30
zu dem beispiel,4,31,9,40,2,9,1,20
seitdem,2,4,3,3,,,1,4
indem,1,17,10,20,26,43,0,10
zuvor,0,2,,,,,0,4
zwar,0,10,0,7,0,2,5,20
vielmehr,4,5,3,4,2,3,1,4
ebenfalls,0,21,0,39,0,15,2,21
dennoch,23,26,23,24,21,24,7,12
danach,0,1,,,1,1,2,4
so,0,6,8,72,1,21,31,67
nämlich,0,3,,,0,2,0,4
infolgedessen,3,3,,,1,1,2,5
aus diesem grund,3,3,7,7,2,2,2,2
dagegen,1,2,0,1,,,2,7
nachdem,3,4,0,1,1,2,2,4
warum,0,6,0,1,0,1,1,4
inzwischen,3,4,,,,,2,8
allein,1,6,0,3,0,6,3,9
später,0,1,0,1,,,0,2
statt,0,6,0,4,0,3,1,11
auch wenn,1,2,0,1,0,1,6,8
sodass,0,2,0,3,0,1,0,9
doch,2,3,4,6,2,3,1,12
weshalb,0,1,0,4,0,1,0,4
wegen,1,1,,,0,1,0,3
andererseits,3,5,1,4,1,3,0,6
inwieweit,0,2,0,1,2,4,1,6
weder,0,1,,,0,1,2,5
ansonsten,0,1,0,1,,,,
anstatt,0,1,1,3,0,1,,
daraufhin,1,1,0,2,0,2,0,1
denn,1,1,7,7,0,1,4,8
deshalb,3,3,0,1,0,1,3,13
falls,1,1,1,1,0,2,,
wonach,0,1,,,,,,
sofern,0,2,0,2,0,1,1,6
außer,0,1,0,1,,,1,4
vorher,,,0,2,,,0,1
hierdurch,,,1,1,,,2,3
bevor,,,0,5,0,1,1,3
sobald,,,0,1,,,0,1
zugleich,,,1,1,0,1,2,4
wenn auch,,,0,1,,,0,2
entgegen,,,0,1,0,1,0,1
ferner,,,,,2,2,3,4
folglich,,,,,0,1,0,3
beziehungsweise,,,,,0,1,0,1
demgegenüber,,,,,1,1,2,2
dessen ungeachtet,,,,,,,1,1
ohnehin,,,,,,,0,4
wenngleich,,,,,,,0,4
womit,,,,,,,0,1
seither,,,,,,,2,3
wogegen,,,,,,,0,1
worauf,,,,,,,0,1
währenddessen,,,,,,,1,1
deswegen,,,,,,,2,2
überdies,,,,,,,0,1
insofern,,,,,,,1,3
mithin,,,,,,,0,1
allenfalls,,,,,,,0,1
sonst,,,,,,,0,1
weswegen,,,,,,,0,3
obgleich,,,,,,,0,1
hiernach,,,,,,,2,2
gleichwohl,,,,,,,1,1
zumal,,,,,,,0,1
