connective,explain_upper,explain_total,continue_upper,continue_total,create_upper,create_total,human_upper,human_total
as,1,77,4,78,2,67,4,89
then,0,4,0,1,0,1,0,3
but,0,15,0,9,0,8,0,16
also,0,27,0,17,0,12,0,20
however,14,14,14,14,9,9,9,11
still,0,3,0,2,,,1,6
while,2,15,7,15,8,29,2,6
when,0,12,1,17,0,9,3,20
before,1,2,0,1,0,1,0,1
for instance,2,2,4,5,,,5,7
for example,3,3,4,4,,,6,7
because,0,2,,,,,0,3
moreover,2,2,4,4,6,6,3,3
therefore,1,1,,,3,3,2,6
finally,1,2,1,1,4,5,1,1
if,0,1,0,2,1,1,2,4
previously,0,2,0,1,0,2,0,1
since,0,3,,,,,4,7
after,1,2,,,,,1,3
on the other hand,1,1,2,2,,,,
instead,1,2,2,2,,,0,1
thus,0,1,,,0,1,1,8
although,0,1,,,,,1,5
later,0,2,0,2,,,0,6
separately,0,1,,,,,,
indeed,,,0,2,,,1,1
in addition,,,1,1,1,1,1,2
in turn,,,,,0,1,,
nonetheless,,,,,,,1,1
nevertheless,,,,,,,1,2
though,,,,,,,0,1
in fact,,,,,,,0,2
by contrast,,,,,,,0,1
