connective,explain_upper,explain_total,continue_upper,continue_total,create_upper,create_total,human_upper,human_total
but,0,207,36,213,9,167,173,384
after,7,97,4,44,5,55,27,132
still,0,70,1,36,0,20,5,68
instead,11,35,12,35,0,5,8,16
as,16,683,146,662,207,764,48,482
while,57,250,71,209,64,201,22,76
however,143,155,88,99,54,63,16,30
since,3,57,7,28,4,11,8,47
later,1,22,0,9,0,9,2,29
also,0,302,0,196,0,162,6,127
when,8,113,7,86,4,81,38,168
as long as,0,3,1,1,,,3,6
if,12,92,10,60,10,29,43,143
until,0,22,5,21,6,24,2,27
before,1,67,2,44,1,68,3,69
although,18,29,5,6,8,10,5,11
yet,0,17,1,20,2,39,4,27
therefore,5,6,2,3,,,0,9
then,2,42,0,15,0,7,12,74
on the other hand,7,7,11,12,,,,
because,0,32,0,14,0,5,3,85
moreover,4,4,28,28,4,4,,
thus,0,1,2,4,1,5,1,2
finally,7,8,8,20,1,5,2,7
in addition,24,24,15,15,5,5,10,11
meanwhile,4,4,6,6,7,7,6,13
previously,2,10,0,5,1,10,0,4
even though,1,4,,,0,1,1,2
though,2,8,1,2,2,8,5,21
so that,0,3,0,8,0,1,0,6
as if,0,2,0,1,0,1,0,4
for example,8,10,1,1,,,2,9
nevertheless,3,3,3,3,2,2,0,1
once,2,11,3,37,2,41,4,24
unless,0,4,0,1,0,4,2,7
indeed,0,3,2,10,3,8,10,16
even if,0,3,0,3,,,1,8
as a result,3,4,4,4,0,1,0,3
otherwise,0,2,0,2,0,5,1,6
nonetheless,2,2,6,8,2,3,2,2
in fact,3,3,1,1,,,4,8
for instance,2,2,1,1,1,1,0,4
just as,,,1,5,7,11,1,8
as soon as,,,0,1,0,1,0,3
in turn,,,1,1,,,0,1
now that,,,,,0,1,0,2
separately,,,,,,,0,1
