connective,explain_upper,explain_total,continue_upper,continue_total,create_upper,create_total,human_upper,human_total
also,0,321,0,257,0,175,9,273
as,41,774,116,684,188,707,79,687
however,157,181,116,124,88,99,73,113
while,63,240,58,247,89,297,38,92
still,1,67,0,45,0,20,4,109
but,1,176,26,178,22,175,134,334
instead,6,34,10,18,6,16,0,12
previously,2,10,0,12,1,10,1,3
before,0,44,1,28,0,35,3,45
for instance,5,6,7,7,5,7,2,13
when,10,100,12,102,7,64,23,120
nonetheless,3,4,6,6,4,4,3,8
although,16,30,6,11,4,5,25,38
after,4,36,5,26,6,29,24,80
as a result,10,14,12,13,2,3,19,31
if,11,49,4,48,1,25,53,135
later,0,9,0,7,0,8,1,18
since,6,80,0,13,3,22,28,88
in addition,17,18,27,30,8,9,23,29
though,1,5,0,4,2,2,5,41
until,0,14,0,5,1,6,2,24
moreover,14,14,58,58,25,25,10,11
on the other hand,13,14,8,8,2,2,7,14
then,0,29,0,8,0,5,3,63
yet,0,8,6,21,4,20,10,35
nevertheless,7,7,6,6,9,9,6,12
because,0,25,0,14,2,9,11,86
just as,1,3,0,1,1,3,1,12
therefore,12,18,5,10,1,1,7,41
indeed,0,2,0,4,9,13,6,12
once,1,14,3,18,1,32,4,34
finally,3,6,5,7,0,2,8,21
for example,10,11,9,12,2,5,18,66
so that,0,1,0,6,0,1,0,12
even if,0,4,,,0,1,5,16
thus,1,6,2,5,0,5,7,38
even though,0,3,0,1,,,3,11
now that,0,2,,,,,0,3
otherwise,0,1,0,1,0,5,1,9
meanwhile,1,2,0,1,3,3,4,8
in fact,5,5,5,6,2,2,6,12
in turn,0,1,0,2,0,1,0,7
unless,0,2,,,0,1,0,1
separately,0,1,,,,,,
as long as,,,2,2,,,1,2
as if,,,0,2,0,1,0,1
by contrast,,,,,,,6,7
as soon as,,,,,,,2,4
