corpus,system,B1,B2,B3
20min,continue,63.68,8.08,28.24
20min,create,61.81,7.94,30.26
20min,explain,61.88,8.41,29.71
20min,human,58.77,7.88,33.34
cnn,continue,56.8,9.89,33.31
cnn,create,55.51,10.03,34.46
cnn,explain,58.32,10.32,31.35
cnn,human,62.75,8.37,28.88
cs_de,continue,65.76,8.53,25.72
cs_de,create,63.44,8.23,28.34
cs_de,explain,65.36,8.65,25.99
cs_de,human,69.74,7.39,22.87
cs_en,continue,61.98,10.65,27.37
cs_en,create,58.06,10.41,31.54
cs_en,explain,63.31,10.82,25.87
cs_en,human,76.75,8.3,14.95
e3c,continue,64.45,10.75,24.8
e3c,create,62.67,10.83,26.49
e3c,explain,64.83,10.63,24.54
e3c,human,67.18,9.1,23.72
ggponc,continue,70.07,8.88,21.05
ggponc,create,67.64,8.79,23.57
ggponc,explain,67.99,8.7,23.31
ggponc,human,63.82,7.73,28.45
pubmed_de,continue,67.9,9.37,22.73
pubmed_de,create,68.37,9.02,22.6
pubmed_de,explain,66.39,8.84,24.77
pubmed_de,human,61.41,8.31,30.28
pubmed_en,continue,62.49,11.11,26.4
pubmed_en,create,63.51,10.81,25.69
pubmed_en,explain,63.12,10.7,26.18
pubmed_en,human,65.63,9.23,25.14
zora_de,continue,75.3,15.3,9.4
zora_de,create,74.43,14.47,11.1
zora_de,explain,74.77,16.69,8.54
zora_de,human,67.25,12.96,19.78
zora_en,continue,74.24,15.11,10.65
zora_en,create,74.08,18.21,7.7
zora_en,explain,75.82,13.75,10.42
zora_en,human,81.24,12.56,6.2
