file,TTR,Yules,MTLD
1,56.73,5683.32,187.87
10,48.84,3324.43,155.97
11,35.46,1757.6,151.17
12,53.0,4052.66,149.23
13,44.95,2563.63,130.67
14,57.4,6843.6,199.35
15,57.81,4592.03,182.52
16,46.88,3372.85,171.12
17,55.36,4228.91,125.16
18,54.88,3849.33,138.39
19,54.71,3458.98,124.18
2,31.15,1275.55,154.05
20,46.41,3062.47,154.36
21,45.1,3117.42,188.44
22,43.98,3123.78,160.32
23,50.08,3936.32,148.57
24,44.46,2455.35,115.12
25,57.55,6393.96,193.45
26,55.08,3924.88,119.24
27,42.68,2324.46,127.53
28,48.36,3173.76,161.53
29,65.43,11260.98,178.92
3,49.33,3775.9,176.82
30,60.7,6168.82,174.55
31,53.58,4574.93,169.8
32,43.56,2676.5,145.45
33,53.1,3264.17,112.5
34,46.2,4120.64,236.7
35,46.4,3017.32,133.93
36,54.19,3895.66,151.69
37,46.59,2986.76,156.56
38,59.1,4734.02,163.34
39,46.96,3128.18,149.56
4,43.12,2691.66,150.2
40,53.49,3611.06,119.64
41,44.69,3164.94,188.3
42,44.43,2763.27,139.08
43,58.82,5747.13,154.96
44,60.08,5367.36,170.81
45,45.31,3418.18,192.52
46,37.17,1711.35,137.82
47,59.15,6790.47,210.25
48,47.73,3642.99,172.52
49,57.97,4733.43,168.54
5,58.84,6285.21,141.81
50,50.34,4038.88,179.14
51,50.74,4294.76,172.09
52,44.92,2779.39,146.64
53,47.5,3021.59,129.56
54,57.45,6096.66,172.22
55,46.62,2882.77,155.39
56,55.47,4556.63,133.5
57,48.58,3375.43,140.17
58,66.61,9833.51,210.77
59,45.7,2800.06,141.17
6,44.29,2963.13,163.69
60,52.42,3287.42,126.75
61,41.57,2560.54,179.76
62,42.74,2796.91,153.75
63,49.94,3792.73,181.1
64,39.88,2238.41,178.47
65,49.62,4516.04,196.25
66,57.68,5600.07,193.97
67,47.42,3187.76,142.64
68,48.61,3243.84,144.33
69,44.29,3057.06,166.52
7,37.57,1865.29,134.84
70,55.32,4140.88,139.06
71,52.38,4021.42,166.53
72,43.66,2931.57,164.71
73,47.21,3615.05,161.37
74,55.08,4006.02,137.11
75,50.12,3393.26,136.16
76,52.07,4172.4,173.91
77,55.17,4315.5,139.64
78,48.0,3578.33,164.9
79,46.38,2806.81,124.31
8,52.35,4508.52,188.35
80,49.32,4016.01,191.74
81,56.15,4728.14,156.78
82,51.13,3641.98,129.05
83,59.96,5253.89,158.31
84,52.8,3489.37,137.82
85,35.48,1563.24,133.25
86,45.61,2938.2,165.65
87,49.81,3878.79,173.79
88,58.35,5114.33,179.29
89,45.44,2923.58,136.99
9,42.48,2678.1,184.25
90,63.77,11435.07,195.71
91,45.84,3399.2,185.56
92,54.62,4498.12,169.61
93,41.36,2430.34,150.45
94,57.36,6613.23,183.07
95,49.22,3696.49,146.66
96,36.72,1925.83,170.15
