file,TTR,Yules,MTLD
1,41.3,2925.29,152.68
10,49.91,3710.32,106.87
11,44.17,2825.15,129.46
12,57.19,4567.93,139.82
13,48.78,3592.58,146.45
14,56.96,4934.5,162.87
15,55.58,4002.78,142.89
16,46.02,3234.37,156.29
17,56.41,4658.22,147.11
18,51.3,3063.03,119.02
19,43.22,2340.19,130.31
2,58.89,5936.82,194.05
20,41.38,1835.69,112.75
21,62.71,7621.35,196.83
22,45.52,3433.1,165.77
23,61.6,6120.26,177.7
24,44.15,3287.72,148.03
25,51.5,4861.05,223.99
26,49.43,3333.73,127.68
27,42.9,2478.31,114.83
28,56.75,4238.93,147.28
29,46.32,3669.83,170.68
3,39.64,2163.38,125.44
30,38.0,1998.22,174.63
31,47.2,2845.69,139.23
32,40.36,2086.8,140.45
33,44.34,2597.59,154.24
34,44.31,3491.12,184.7
35,48.31,3839.41,173.56
36,59.7,5601.75,173.0
37,47.65,2977.74,124.97
38,47.4,3836.99,152.08
39,56.14,4872.36,147.03
4,43.98,2739.89,151.19
40,53.91,3799.92,130.09
41,45.22,3233.89,157.6
42,46.89,3213.44,153.06
43,56.33,4839.46,163.09
44,40.98,2607.73,100.43
45,54.9,4701.97,150.19
46,63.22,7192.87,164.96
47,49.72,3655.56,128.13
48,63.27,9985.7,157.86
49,42.81,2551.25,142.6
5,51.63,3953.22,129.73
50,48.86,3923.73,158.54
51,47.49,3086.14,128.06
52,39.2,1683.07,125.82
53,53.27,3593.51,140.45
54,40.25,2655.6,129.38
55,44.5,2624.28,169.0
56,53.63,3916.06,120.99
57,54.95,3918.49,127.25
58,57.86,5358.82,153.98
59,48.08,3670.88,161.26
6,56.7,4945.43,161.37
60,55.74,3815.7,113.38
61,47.56,3174.77,154.29
62,58.46,5037.64,173.92
63,51.08,4220.09,172.07
64,48.23,3174.31,167.62
65,67.4,8907.37,210.1
66,54.98,4579.61,130.05
67,50.56,4025.7,159.33
68,45.79,2678.03,122.16
69,61.97,7354.82,187.7
7,42.79,2649.75,157.14
70,40.0,1939.24,114.8
71,40.36,2664.51,153.6
72,45.08,2951.25,145.14
73,43.24,2635.08,152.89
74,46.86,3682.43,171.19
75,46.51,2872.98,122.72
76,48.74,3252.21,139.39
77,43.67,2604.61,148.83
78,43.77,3058.2,171.02
79,49.48,4052.09,164.46
8,46.84,3284.54,148.03
80,58.87,5402.0,176.0
81,48.42,3281.55,154.41
82,54.55,4215.94,127.96
83,51.4,4714.86,166.52
84,59.82,5749.82,158.16
85,41.49,2472.9,145.01
86,60.91,6796.9,163.79
87,61.19,6097.13,169.06
88,47.6,3417.59,153.64
89,53.92,4125.75,131.71
9,61.58,7766.44,178.67
90,43.57,2480.68,108.46
91,47.69,3544.68,160.64
92,39.86,2249.79,148.99
93,44.2,3050.66,141.29
94,55.64,5208.51,185.62
95,51.3,3867.16,143.22
96,59.2,5172.62,155.4
