file,TTR,Yules,MTLD
1,51.19,4236.55,155.08
10,56.13,5833.37,165.73
11,46.37,2998.39,138.13
12,51.63,4404.72,182.93
13,56.78,5418.38,172.79
1,51.19,4236.55,155.08
10,56.13,5833.37,165.73
11,46.37,2998.39,138.13
12,51.63,4404.72,182.93
13,56.78,5418.38,172.79
14,50.41,3721.26,137.93
15,53.2,4329.54,179.88
16,52.14,3474.24,157.33
17,51.09,3463.39,127.02
18,52.85,3236.45,117.76
19,52.91,3958.07,141.11
2,54.21,4708.81,175.36
20,49.74,3132.21,145.05
21,51.42,3399.35,102.67
22,47.88,3358.85,185.13
23,51.62,4235.17,150.03
24,51.91,4061.79,161.73
25,54.5,4607.78,153.14
26,52.57,3649.39,150.62
27,49.43,3141.72,124.71
28,49.48,3895.68,165.48
29,54.83,5001.73,177.54
3,55.9,4270.33,140.92
30,51.76,3807.1,158.6
31,53.76,3910.5,120.43
32,53.54,4394.19,149.73
33,54.78,4679.35,189.75
34,53.58,4166.76,149.16
35,52.4,3842.28,146.29
36,50.21,3802.81,144.69
37,50.07,3676.77,141.73
38,51.77,4432.17,184.81
39,52.86,4163.19,146.8
4,65.05,7858.89,168.04
40,43.85,2538.53,149.26
41,46.02,2886.81,130.15
42,49.87,4250.2,197.41
43,48.93,4017.15,148.28
44,46.44,2800.9,129.94
45,50.87,3984.05,161.61
46,58.53,5905.66,190.17
47,52.54,4264.22,164.31
48,51.25,3702.16,125.67
49,47.01,3223.37,133.71
5,53.73,5634.46,162.7
50,54.11,5012.37,195.72
51,58.33,6636.93,179.44
52,47.8,3750.8,153.97
53,54.06,4393.44,143.61
54,47.45,3609.39,160.44
55,56.43,5287.3,145.48
56,50.62,3408.12,154.19
57,52.38,3491.76,139.35
58,52.93,4136.3,198.02
59,55.47,5595.9,168.26
6,54.93,5357.34,169.66
60,48.4,3186.11,158.67
61,55.86,4500.14,160.25
62,55.82,5230.96,173.08
63,48.59,3645.0,140.38
64,48.66,3505.7,164.83
65,53.81,4393.36,165.43
66,53.79,4432.82,170.71
67,51.2,3897.51,149.96
68,48.87,3400.58,155.83
69,53.28,4405.0,167.2
7,52.71,4403.0,157.41
70,48.91,3140.18,127.51
71,47.1,3219.83,137.72
72,54.06,4596.7,159.12
73,49.08,3669.36,129.55
74,56.19,5265.75,157.97
75,51.34,4073.56,151.62
76,54.17,4221.76,155.77
77,49.18,3027.98,140.94
78,53.16,4471.62,129.75
79,50.35,3367.12,153.93
8,53.47,4475.53,163.59
80,46.26,3253.75,146.63
81,52.09,3876.2,142.88
82,52.77,3786.09,135.03
83,49.44,3111.12,142.8
84,57.18,4902.3,197.09
85,51.95,3720.25,146.56
86,50.07,3425.64,165.39
87,51.98,3713.14,133.52
88,48.12,3002.66,137.78
89,49.06,3240.7,158.52
9,52.69,3477.78,126.88
90,50.63,3629.76,158.0
91,52.03,4564.09,222.63
92,54.08,3665.06,188.23
93,52.73,3952.48,123.66
94,57.7,5771.75,185.69
95,60.2,5258.33,177.8
96,48.26,3551.11,136.63
