lemma,shannon
der,1.5343345365246626
aktinisch,0.6931471805599453
sein,0.9586918593253719
ein,1.1976254499523014
werden,1.329661348854758
können,0.9002560512685369
früh,0.6365141682948128
natürlich,0.8675632284814612
nutzen,0.6931471805599453
dies,0.6829081047004717
dünn,0.6931471805599453
haben,0.5623351446188083
kein,0.6365141682948128
wichtig,0.6730116670092565
konventionell,0.5004024235381879
beide,0.6365141682948128
zeigen,1.0986122886681096
aufweisen,0.6931471805599453
weit,0.6365141682948128
psychologisch,0.6931471805599453
ihr,0.6931471805599453
sollen,0.6365141682948128
sicher,0.6931471805599453
kostengünstig,0.6931471805599453
möglich,0.6931471805599453
