lemma,shannon
der,1.5492730384399511
werden,1.3343960468766842
verschieden,0.6931471805599453
ein,1.1118251430236674
darstellen,0.6931471805599453
geben,1.0986122886681096
finden,0.6365141682948128
zusätzlich,0.6931471805599453
positiv,0.6730116670092565
signifikant,1.0397207708399179
unterschiedlich,0.6931471805599453
offen,0.5623351446188083
gering,0.6730116670092565
sein,0.6791932659915256
aussagekräftig,0.6365141682948128
haben,0.6931471805599453
zeigen,0.6931471805599453
ander,1.0986122886681096
bestehen,0.6931471805599453
leicht,0.6931471805599453
einige,0.6365141682948128
klar,0.6931471805599453
weit,0.6365141682948128
kritisch,0.6931471805599453
