system,file,shannon,simpson
human,1,86.28,45.32
human,10,89.57,45.03
human,2,77.53,50.01
human,3,85.99,47.13
human,4,82.21,48.3
human,5,90.84,44.7
human,6,100.88,40.59
human,7,81.37,49.69
human,8,97.34,42.37
human,9,93.51,42.2
continue,1,77.93,49.6
continue,10,80.86,49.39
continue,2,93.6,43.64
continue,3,81.82,48.68
continue,4,91.37,44.6
continue,5,112.56,38.4
continue,6,77.98,52.41
continue,7,85.04,46.14
continue,8,88.68,45.64
continue,9,84.65,47.37
explain,1,84.68,47.31
explain,10,88.2,46.43
explain,2,80.55,48.53
explain,3,91.21,45.01
explain,4,86.95,45.39
explain,5,92.45,44.14
explain,6,92.62,44.73
explain,7,81.67,48.95
explain,8,99.28,45.2
explain,9,86.74,45.95
create,1,81.14,48.05
create,10,61.09,57.49
create,2,88.24,45.13
create,3,89.62,44.6
create,4,92.09,45.3
create,5,86.65,45.77
create,6,79.16,48.91
create,7,81.23,48.08
create,8,77.73,50.06
create,9,80.18,49.05
