lemma,shannon
der,1.4376751063400415
therapeutisch,0.6931471805599453
haben,0.6365141682948128
cell,0.6931471805599453
dies,1.5047882836811908
genetisch,0.5623351446188083
regulatorisch,1.0397207708399179
ein,1.2130075659799042
neu,0.6931471805599453
bieten,0.6365141682948128
immunsuppressiv,0.6931471805599453
sein,0.6365141682948128
können,1.0397207708399179
modifizieren,0.6931471805599453
klinisch,0.6730116670092565
spezifisch,0.6931471805599453
ihr,0.6365141682948128
werden,0.9502705392332347
ergeben,0.6931471805599453
präklinisch,0.6365141682948128
