lemma,shannon
der,1.5782046018799942
ein,1.4066722431927383
neu,0.9502705392332347
antiviral,0.6931471805599453
mehrere,0.6931471805599453
haben,0.45056120886630463
gut,0.6931471805599453
dies,1.190660675649706
führen,1.0397207708399179
sein,1.3516811946858949
liegend,0.6931471805599453
bisherig,0.6931471805599453
medizinisch,0.6931471805599453
chronisch,0.45056120886630463
begrenzt,0.6931471805599453
zeigen,1.0549201679861442
werden,1.2658567518727373
erzielen,0.6931471805599453
hoch,0.6931471805599453
nachhaltig,0.6365141682948128
erreichen,0.6931471805599453
vielversprechend,1.242453324894
spezifisch,0.6931471805599453
neuartig,0.6931471805599453
stellen,0.6365141682948128
deutlich,0.6931471805599453
können,1.242453324894
jung,0.6365141682948128
funktionell,0.5004024235381879
immunvermittelt,0.5623351446188083
möglich,0.6931471805599453
weit,0.5623351446188083
konzentrieren,0.6931471805599453
