Completion-time,prompt-type,time of the call in H-M-S
39.89016044147488,explain,10-32-01
49.34076489233338,explain,10-32-29
48.39510721327868,explain,10-32-54
44.65388731658923,explain,10-33-22
56.90283327100797,explain,10-33-50
