system,file,shannon,simpson
human,1,86.27605608157656,45.31815421301774
human,10,89.57338239747676,45.03231695403791
human,2,77.53141941802097,50.01000872189968
human,3,85.98837303970043,47.13311588399701
human,4,82.21449973864667,48.295818165628354
human,5,90.84004073252345,44.70405880843162
human,6,100.8786053266759,40.58572183357265
human,7,82.42724477027788,49.17280694977492
human,8,97.3354373892351,42.36725693629151
human,9,93.51109209883647,42.19894344251294
continue,1,88.67426882359143,44.09911666237731
continue,10,104.63382381630228,40.9173916587867
continue,2,86.12246330904844,45.17601313224582
continue,3,87.73350074418893,45.11516564116833
continue,4,93.3130069086579,41.96271494708995
continue,5,91.14465688123266,43.35850614954098
continue,6,102.04882898751286,39.883754904416065
continue,7,98.9163036147523,40.67503980091393
continue,8,84.92405019911236,45.71370393923208
continue,9,82.659905949427,46.844337992552695
explain,1,82.91280735316022,45.68106574598204
explain,10,93.93328355639903,42.59049273913115
explain,2,82.4616358276329,46.49369277085257
explain,3,80.41044022903783,49.081765518707485
explain,4,81.0967811284161,47.77392728427925
explain,5,83.81564498805193,46.982877212703826
explain,6,87.97612367510202,44.53014880265971
explain,7,83.55781386822261,46.59771640943067
explain,8,101.2335435887945,40.11498121815078
explain,9,108.25708849970763,37.17977502588196
create,1,87.6916756188515,44.20640684257242
create,10,90.72444291731549,43.82278622906386
create,2,93.83422005706416,42.68635558390022
create,3,82.21063658710173,47.10261707988981
create,4,84.55142751067986,46.47163733218155
create,5,91.42393403731396,44.20551236367563
create,6,82.6128562521846,46.97505767012687
create,7,86.74178634987153,44.41953262786596
create,8,93.22549591680539,43.01237467901108
create,9,83.65129844419687,46.00842945874002
