lemma,shannon
alle,1.3862943611198906
wir,0.5859526183035508
der,1.8304165423689391
unser,1.4578514352420038
ein,1.553812700506381
schaffen,0.6931471805599453
können,1.2130075659799042
haben,1.2440166957928942
global,1.0397207708399179
einige,0.6931471805599453
unabhängig,0.6931471805599453
sein,1.3454752808523385
institutionell,0.9502705392332347
groß,0.6931471805599453
stark,1.0397207708399179
müssen,0.5623351446188083
extern,0.6931471805599453
gut,0.6931471805599453
schnell,0.6931471805599453
alternativ,0.6365141682948128
wechseln,0.6365141682948128
dies,0.5623351446188083
erfüllen,0.6931471805599453
ihr,1.3321790402101223
bieten,0.6931471805599453
neu,0.6931471805599453
wichtig,0.6931471805599453
ich,0.509137344082687
stehen,0.6931471805599453
anspruchsvoll,0.6931471805599453
mein,0.9556998911125343
solide,0.6931471805599453
verbringen,0.6931471805599453
alt,0.6931471805599453
