system,file,shannon,simpson
human,1,91.22,44.01
human,10,93.21,44.42
human,100,100.31,41.17
human,11,85.11,46.07
human,12,90.79,44.88
human,13,87.25,47.32
human,14,90.31,46.1
human,15,102.46,43.58
human,16,87.38,45.83
human,17,90.15,43.23
human,18,99.37,43.56
human,19,84.71,47.95
human,2,93.82,43.08
human,20,86.18,45.9
human,21,84.08,47.34
human,22,100.16,42.8
human,23,102.05,39.64
human,24,87.31,44.84
human,25,102.53,39.51
human,26,96.76,41.99
human,27,82.53,46.93
human,28,98.08,42.3
human,29,83.38,46.71
human,3,91.11,43.11
human,30,87.62,47.65
human,31,89.06,46.62
human,32,83.31,47.2
human,33,93.82,44.45
human,34,94.54,44.06
human,35,98.39,42.1
human,36,82.62,48.07
human,37,97.71,43.59
human,38,80.99,49.81
human,39,92.01,45.26
human,4,90.43,45.75
human,40,87.59,44.83
human,41,101.87,41.38
human,42,91.35,45.39
human,43,90.97,43.86
human,44,95.06,42.28
human,45,110.23,38.91
human,46,84.54,45.44
human,47,89.86,44.05
human,48,90.38,45.59
human,49,96.99,41.77
human,5,89.65,44.36
human,50,80.86,47.87
human,51,94.97,43.92
human,52,86.92,46.72
human,53,108.34,39.63
human,54,120.82,35.41
human,55,83.3,48.3
human,56,89.62,45.32
human,57,89.91,43.83
human,58,83.06,49.32
human,59,86.21,47.06
human,6,68.43,54.27
human,60,97.88,42.18
human,61,83.01,48.08
human,62,102.12,41.69
human,63,93.39,43.66
human,64,89.46,45.37
human,65,85.51,45.94
human,66,89.96,45.35
human,67,79.53,49.15
human,68,90.74,46.25
human,69,82.06,48.54
human,7,98.09,42.52
human,70,95.06,43.91
human,71,104.15,38.4
human,72,89.6,45.78
human,73,98.0,41.52
human,74,97.6,41.44
human,75,96.14,43.7
human,76,92.13,44.84
human,77,96.5,42.68
human,78,86.36,45.96
human,79,91.38,43.67
human,8,79.76,49.39
human,80,80.95,48.43
human,81,82.93,46.48
human,82,92.32,43.53
human,83,93.68,45.99
human,84,85.01,46.33
human,85,91.05,44.3
