system,file,shannon,simpson
human,2007-03-the-rise-of-the-dragon-apparent_614_de,84.55,46.63
human,2007-03-the-will-to-reform-must-not-slacken_635_de,83.98,45.63
human,2007-06-orchestras-advertise-vacancies-well-in-advance_635_de,85.04,46.26
human,2007-07-mexico-a-stable-and-growing-emerging-market_634_de,82.59,48.75
human,2007-07-nanotech-hype-or-set-to-revolutionize-the-world_592_de,95.09,44.29
human,2007-09-migration-leads-to-higher-growth_604_de,79.99,47.48
human,2007-10-making-the-most-out-of-mixflation_617_de,79.95,48.95
human,2007-11-turkey-offers-promising-perspectives_604_de,82.08,49.84
human,2008-01-28-newchallenges_617_de,95.39,43.35
human,2008-03-from-frontier-market-to-booming-economy_581_de,84.27,45.72
human,2008-07-01-Ticino--Lombardys-Hong-Kong_581_de,76.55,50.05
human,2007-03-the-rise-of-the-dragon-apparent_614_de,84.55,46.63
human,2007-03-the-will-to-reform-must-not-slacken_635_de,83.98,45.63
human,2007-06-orchestras-advertise-vacancies-well-in-advance_635_de,85.04,46.26
human,2007-07-mexico-a-stable-and-growing-emerging-market_634_de,82.59,48.75
human,2007-07-nanotech-hype-or-set-to-revolutionize-the-world_592_de,95.09,44.29
human,2007-09-migration-leads-to-higher-growth_604_de,79.99,47.48
human,2007-10-making-the-most-out-of-mixflation_617_de,79.95,48.95
human,2007-11-turkey-offers-promising-perspectives_604_de,82.08,49.84
human,2008-01-28-newchallenges_617_de,95.39,43.35
