lemma,shannon
der,1.6271114282238748
medizinisch,0.5004024235381879
sein,0.7595473914748635
dies,1.3545810752131697
erläutern,0.6365141682948128
müssen,0.6365141682948128
digital,1.0346012329101812
ihr,0.9502705392332347
Nutzen,0.6931471805599453
können,1.0735428464085233
alle,0.6365141682948128
werden,0.9433483923290391
haben,0.45056120886630463
wichtig,0.6365141682948128
sozial,1.0986122886681096
ein,1.4681399390162087
Digital,0.6365141682948128
jen,0.6365141682948128
entsprechend,1.0986122886681096
nutzen,0.9502705392332347
effektiv,0.6365141682948128
bestehend,0.6931471805599453
betrachten,0.6931471805599453
deutlich,0.6931471805599453
sie,0.5623351446188083
benachteiligen,0.6931471805599453
gesundheitlich,0.6365141682948128
lassen,0.6931471805599453
