connective,human_upper,human_total,gpt_upper,gpt_total
statt,2,13,1,6
darüber hinaus,1,1,22,26
dafür,3,26,0,21
während,10,31,18,54
zu dem beispiel,1,8,1,17
nämlich,0,6,0,0
seit,9,47,1,9
da,18,43,2,99
darum,2,15,0,25
hingegen,0,9,0,30
wegen,3,53,0,9
anstatt,2,2,0,2
ob,13,39,2,113
inwiefern,0,0,1,1
aber,37,183,13,66
infolge,0,0,0,1
zugleich,0,1,0,0
warum,12,15,0,6
dadurch,1,6,13,18
andererseits,2,4,0,0
darauf,2,16,0,34
doch,28,53,39,47
indem,0,2,17,25
"nur , dass",0,1,0,0
des weiteren,0,0,4,4
wonach,0,2,0,0
folglich,1,1,0,0
ohnehin,3,6,0,0
worauf,0,1,0,2
wenn auch,0,1,0,0
so,41,204,0,53
falls,3,6,0,0
wie,46,195,8,244
dabei,10,34,11,25
vielmehr,1,1,0,0
dagegen,0,12,0,1
trotzdem,5,12,5,6
allerdings,14,27,6,6
sofern,0,2,0,1
trotz,3,9,21,27
danach,4,14,0,0
zumal,2,3,0,0
zudem,14,26,43,45
weder,0,3,0,0
sobald,3,3,1,4
seither,0,3,0,0
gleichwohl,0,1,0,0
unterdessen,1,1,0,0
aus diesem grund,2,2,1,1
denn,19,32,6,14
inzwischen,3,12,0,0
außerdem,0,0,8,12
ebenso wenig,1,1,0,0
deshalb,14,32,4,7
deswegen,0,3,0,0
zuvor,2,9,2,5
weshalb,1,7,0,1
ausser,1,3,0,0
daraufhin,0,3,0,1
später,3,20,0,3
ansonsten,1,1,0,0
vorher,0,3,0,1
entgegen,1,2,0,0
sondern,0,16,0,53
seitdem,0,0,2,2
ebenfalls,2,17,0,14
zusätzlich,0,3,2,6
währenddessen,0,0,1,1
weil,8,42,0,4
allein,1,5,0,4
soweit,0,3,0,0
wenn,26,96,9,37
somit,0,4,5,26
beziehungsweise,1,3,0,0
weiterhin,2,14,3,81
beispielsweise,2,13,0,14
aufgrund,4,16,2,20
bevor,2,9,0,20
nachdem,8,12,2,3
weswegen,0,1,0,0
daher,4,9,6,45
insofern,0,1,0,0
sonst,0,4,0,1
dann,6,53,0,10
ausserdem,12,15,0,0
also,3,24,9,25
womit,1,1,0,0
zunächst,1,7,1,1
auch wenn,2,8,3,5
allenfalls,1,2,0,0
obwohl,6,15,24,29
sodass,0,2,0,0
dennoch,2,5,5,14
zwar,10,31,3,18
als,26,223,15,272
