connective,human_upper,human_total,gpt_upper,gpt_total
previously,0,2,0,5
when,1,19,0,33
while,2,30,6,30
then,9,58,0,3
finally,4,6,1,1
even though,0,1,0,0
therefore,5,6,13,13
for instance,1,1,0,0
after,51,200,15,35
in addition,8,15,28,28
still,3,19,0,3
just as,0,1,0,0
because,5,29,0,1
nevertheless,0,1,0,0
if,0,3,5,39
however,31,51,73,74
as a result,1,2,1,4
though,1,7,0,0
separately,0,2,0,1
moreover,4,4,0,0
otherwise,2,8,0,3
but,2,86,0,42
thus,6,13,0,1
before,2,21,0,5
by contrast,0,1,0,0
on the other hand,0,0,1,3
as,8,168,5,296
yet,1,7,0,0
until,0,10,0,9
also,9,96,0,161
later,1,41,0,1
since,6,32,1,3
instead,1,3,0,0
as soon as,1,2,0,0
meanwhile,2,3,1,1
although,5,10,5,10
indeed,1,2,0,2
once,3,10,8,8
