file,human_total,machine_total
1,10,5
2,14,5
3,13,12
4,8,9
5,19,6
6,20,8
7,10,7
8,30,24
9,11,7
10,14,17
11,13,16
12,15,16
13,11,5
14,15,15
15,22,0
16,13,10
17,9,9
18,10,3
19,13,4
20,11,18
21,13,12
22,9,18
23,18,12
24,16,4
25,18,8
26,14,17
27,12,9
28,11,11
29,4,5
30,17,10
31,14,8
32,12,4
33,11,10
34,3,8
35,13,15
36,7,17
37,10,9
38,9,8
39,20,16
40,7,12
41,12,15
42,5,14
43,9,11
44,11,3
45,9,10
46,6,9
47,12,5
48,11,12
49,15,13
50,10,15
51,8,5
52,9,6
53,7,7
54,14,7
55,11,6
56,14,17
57,17,11
58,9,8
59,6,13
60,8,11
61,10,10
62,8,7
63,17,6
64,9,5
65,17,9
66,14,6
67,24,11
68,14,5
69,14,11
70,9,3
71,5,5
72,5,3
73,13,14
74,11,12
75,14,6
76,15,16
77,9,6
78,11,13
79,10,12
80,10,8
81,16,11
82,10,5
83,16,4
84,10,10
85,17,13
86,9,10
87,11,1
88,13,3
89,12,12
90,15,19
91,16,8
92,17,10
93,16,14
94,9,15
95,10,4
96,10,9
97,14,11
98,10,10
99,5,9
100,11,4
