file,human_total,machine_total
1,15,9
2,14,11
3,17,31
4,18,16
5,9,24
6,15,6
7,16,29
8,12,10
9,16,25
10,13,8
11,11,13
12,12,10
13,5,19
14,10,15
15,25,18
16,5,10
17,17,8
18,9,17
19,8,8
20,5,10
21,12,18
22,14,24
23,7,10
24,14,16
25,18,16
26,23,19
27,10,4
28,15,8
29,12,14
30,15,7
31,8,17
32,13,11
33,13,11
34,15,11
35,13,11
36,11,3
37,16,26
38,12,17
39,17,10
40,18,34
41,6,18
42,9,9
43,17,22
44,7,21
45,15,22
46,8,12
47,10,4
48,13,8
49,11,12
50,12,14
51,11,9
52,8,11
53,3,3
54,6,12
55,6,6
56,12,18
57,13,6
58,15,20
59,9,0
60,15,15
61,9,10
62,4,15
63,10,20
64,4,8
65,17,11
66,11,24
67,6,13
68,8,16
69,11,18
70,15,7
71,9,6
72,10,12
73,10,12
74,3,12
75,7,8
76,12,13
77,16,4
78,10,8
79,14,11
80,4,19
81,11,16
82,14,9
83,11,13
84,14,16
85,5,5
86,14,13
87,9,8
88,5,17
89,14,19
90,8,4
91,13,18
92,8,8
93,18,9
94,5,20
95,13,13
96,16,29
97,7,15
98,2,17
99,12,6
100,8,21
