file,human_total,machine_total
1,13,10
2,5,8
3,10,12
4,9,2
5,8,7
6,14,9
7,8,16
8,6,5
9,18,3
10,5,8
11,12,11
12,5,8
13,11,10
14,13,3
15,9,10
16,8,9
17,18,12
18,9,1
19,11,3
20,4,8
21,21,11
22,9,11
23,7,16
24,8,4
25,6,13
26,13,7
27,11,14
28,8,6
29,7,10
30,9,7
31,8,9
32,9,4
33,7,3
34,8,4
35,5,16
36,9,11
37,8,4
38,9,5
39,6,6
40,14,8
41,6,7
42,7,6
43,20,1
44,12,6
45,5,5
46,11,7
47,10,7
48,11,8
49,11,4
50,6,5
51,11,10
52,10,1
53,3,4
54,6,9
55,12,7
56,15,3
57,13,2
58,8,8
59,8,8
60,13,11
61,15,6
62,7,15
63,8,3
64,6,6
65,21,7
66,6,8
67,13,14
68,8,15
69,15,8
70,14,2
71,10,8
72,2,9
73,6,10
74,4,11
75,14,10
76,15,3
77,12,18
78,11,6
79,7,15
80,9,7
81,5,8
82,15,5
83,6,10
84,7,7
85,2,15
86,13,11
87,6,13
88,13,11
89,4,10
90,11,7
91,17,12
92,12,6
93,5,11
94,19,9
95,7,11
96,6,8
97,11,6
98,8,5
99,13,16
100,11,10
