connective,human_upper,human_total,gpt_upper,gpt_total
unless,0,4,0,0
until,2,17,1,4
but,108,235,33,177
otherwise,1,3,1,2
in fact,3,5,4,4
then,8,49,0,11
since,6,36,2,14
so that,0,3,0,0
meanwhile,5,10,1,1
as a result,0,2,3,6
before,1,44,0,16
after,18,92,1,21
also,1,75,0,174
as if,0,3,0,2
though,4,14,0,2
for example,1,6,2,4
as,31,310,91,497
even if,1,3,1,3
for instance,0,4,2,2
instead,7,14,6,11
as soon as,0,1,0,2
nevertheless,0,0,4,4
moreover,0,0,5,5
just as,0,2,2,4
indeed,7,9,0,1
nonetheless,1,1,0,0
later,0,19,0,6
although,3,7,3,3
yet,3,20,0,8
on the other hand,0,0,3,4
when,27,110,2,27
therefore,0,6,1,1
in turn,0,1,0,0
because,0,50,1,1
still,4,51,0,38
as long as,1,3,2,2
however,12,20,90,96
in addition,5,6,12,12
even though,0,1,0,1
thus,0,1,1,1
once,2,15,1,11
previously,0,3,0,2
while,15,53,44,88
finally,2,6,0,4
now that,0,2,0,0
separately,0,1,0,0
if,25,79,12,35
