file,human_upper,machine_upper
1,4,4
2,2,1
3,7,2
4,2,4
5,3,8
6,4,7
7,4,1
8,5,6
9,2,5
10,3,0
11,2,5
12,5,3
13,2,3
14,5,4
15,2,5
16,1,7
17,4,6
18,0,5
19,4,5
20,3,3
21,4,7
22,2,3
23,2,3
24,3,5
25,1,0
26,8,4
27,1,5
28,2,7
29,2,2
30,7,6
31,2,6
32,1,4
33,2,3
34,1,6
35,1,6
36,6,1
37,0,1
38,0,3
39,2,2
40,3,6
41,4,4
42,4,4
43,0,5
44,3,3
45,5,9
46,1,3
47,3,4
48,3,6
49,4,2
50,5,3
51,1,4
52,3,3
53,4,7
54,1,3
55,4,2
56,3,5
57,2,3
58,4,8
59,9,10
60,2,3
61,1,5
62,2,0
63,3,5
64,4,7
65,3,5
66,4,9
67,6,3
68,1,0
69,2,0
70,3,4
71,5,8
72,1,5
73,6,4
74,3,4
75,2,5
76,0,6
77,4,4
78,7,4
79,4,5
80,4,5
81,1,6
82,4,2
83,6,7
84,2,3
85,2,2
86,1,5
87,1,1
88,0,3
89,4,6
90,3,2
91,4,2
92,4,5
93,2,5
94,1,8
95,2,5
96,2,1
