file,human_total,machine_total
1,16,17
2,12,12
3,14,22
4,13,14
5,13,27
6,9,19
7,15,6
8,12,12
9,5,15
10,15,1
11,13,10
12,17,18
13,23,16
14,16,13
15,21,13
16,14,18
17,22,28
18,5,21
19,15,17
20,11,6
21,17,25
22,15,8
23,20,9
24,11,12
25,9,12
26,20,14
27,12,10
28,12,14
29,16,14
30,16,12
31,11,13
32,16,11
33,7,5
34,15,19
35,11,14
36,22,9
37,9,6
38,15,17
39,14,8
40,20,19
41,16,19
42,20,21
43,9,12
44,13,13
45,15,15
46,12,11
47,12,11
48,10,18
49,12,11
50,11,6
51,13,12
52,12,16
53,19,16
54,10,10
55,27,18
56,13,12
57,7,8
58,15,22
59,27,19
60,24,20
61,12,14
62,8,3
63,13,13
64,16,14
65,20,16
66,11,17
67,28,23
68,6,0
69,13,12
70,11,7
71,13,23
72,10,7
73,29,14
74,19,9
75,10,9
76,14,22
77,8,9
78,13,8
79,8,14
80,19,17
81,17,22
82,15,11
83,20,16
84,11,7
85,12,9
86,9,17
87,14,13
88,6,9
89,25,20
90,10,12
91,15,18
92,19,11
93,11,19
94,8,17
95,14,12
96,10,5
