file,human_total,machine_total
1,13,14
2,14,9
3,10,8
4,13,15
5,12,8
6,18,7
7,7,23
8,12,9
9,9,20
10,13,13
11,16,10
12,11,16
13,16,27
14,8,8
15,6,1
16,13,12
17,10,18
18,23,9
19,20,17
20,20,10
21,10,6
22,17,13
23,19,28
24,13,13
25,8,12
26,23,25
27,17,24
28,10,13
29,8,9
30,13,6
31,19,18
32,14,5
33,10,13
34,5,12
35,9,7
36,13,13
37,11,12
38,10,17
39,17,15
40,18,21
41,10,12
42,11,6
43,15,20
44,14,13
45,13,11
46,20,10
47,15,14
48,19,16
49,14,10
50,31,19
51,13,1
52,8,15
53,12,10
54,16,15
55,5,13
56,15,15
57,12,13
58,19,7
59,13,10
60,10,17
61,18,13
62,9,13
63,17,22
64,18,14
65,15,7
66,10,13
67,18,14
68,20,11
69,17,18
70,18,24
71,15,7
72,14,18
73,17,12
74,12,16
75,18,14
76,15,7
77,14,4
78,24,20
79,1,4
80,13,22
81,13,15
82,7,6
83,9,8
84,11,19
85,10,8
86,14,16
87,21,12
88,29,25
89,5,11
90,19,12
91,30,5
92,13,10
93,11,10
94,14,9
95,8,19
96,16,10
97,11,17
98,12,13
99,10,13
100,17,13
