connective,human_upper,human_total,gpt_upper,gpt_total
now that,0,2,0,0
then,8,49,0,11
as if,0,3,0,2
finally,2,6,0,4
even though,0,1,0,1
therefore,0,6,1,1
nonetheless,1,1,0,0
nevertheless,0,0,4,4
however,12,20,90,96
though,4,14,0,2
separately,0,1,0,0
otherwise,1,3,1,2
moreover,0,0,5,5
before,1,44,0,16
yet,3,20,0,8
in fact,3,5,4,4
since,6,36,2,14
as soon as,0,1,0,2
even if,1,3,1,3
as long as,1,3,2,2
although,3,7,3,3
unless,0,4,0,0
in addition,5,6,12,12
once,2,15,1,11
previously,0,3,0,2
when,27,110,2,27
while,15,53,44,88
for instance,0,4,2,2
after,18,92,1,21
still,4,51,0,38
just as,0,2,2,4
because,0,50,1,1
if,25,79,12,35
in turn,0,1,0,0
as a result,0,2,3,6
so that,0,3,0,0
but,108,235,33,177
thus,0,1,1,1
for example,1,6,2,4
on the other hand,0,0,3,4
as,31,310,91,497
until,2,17,1,4
also,1,75,0,174
later,0,19,0,6
instead,7,14,6,11
meanwhile,5,10,1,1
indeed,7,9,0,1
