connective,human_upper,human_total,gpt_upper,gpt_total
aber,0,11,0,2
zwar,0,1,0,5
zusätzlich,0,0,2,2
seit,0,5,0,0
dann,0,3,0,0
als,1,56,0,51
darüber hinaus,0,0,3,3
indem,0,2,5,11
dennoch,0,0,0,2
sondern,0,12,0,14
zugleich,0,1,0,0
hierauf,0,1,0,0
darauf,0,0,0,10
nämlich,0,1,0,1
dafür,1,2,0,7
also,0,6,0,3
so,3,8,0,1
zuvor,0,2,0,0
seitdem,0,0,1,1
dabei,4,6,15,17
obwohl,0,1,4,4
daher,1,3,0,5
beispielsweise,0,1,0,2
weiterhin,0,0,0,2
statt,0,2,0,0
wenn,2,8,0,0
vielmehr,1,5,0,0
hingegen,0,1,0,1
dadurch,0,0,1,1
sodass,0,2,0,0
wegen,0,0,0,1
zudem,2,3,0,4
während,1,2,2,4
später,0,4,0,0
zunächst,1,2,0,1
entgegen,0,1,0,0
da,1,1,0,2
weder,0,1,0,5
ebenfalls,0,1,0,2
insofern,0,1,0,0
inzwischen,1,1,0,0
somit,0,1,0,25
zu dem beispiel,0,1,0,0
wie,1,20,0,22
trotz,0,2,0,0
denn,1,2,0,0
darum,0,0,0,1
allein,0,3,0,0
allerdings,2,6,1,1
warum,0,2,0,3
deshalb,0,1,0,0
ob,0,2,0,0
doch,2,4,0,0
