file,human_upper,machine_upper
1,2,5
2,4,2
3,5,2
4,2,2
5,2,2
6,9,2
7,3,0
8,8,8
9,2,1
10,3,3
11,5,10
12,1,3
13,3,1
14,3,7
15,2,0
16,1,3
17,3,3
18,3,0
19,6,0
20,1,5
21,0,1
22,2,2
23,7,3
24,3,0
25,2,4
26,3,2
27,6,1
28,2,4
29,0,4
30,5,1
31,5,3
32,1,1
33,3,2
34,0,2
35,2,5
36,3,2
37,2,1
38,4,2
39,2,1
40,4,4
41,7,2
42,0,6
43,2,2
44,6,1
45,3,5
46,1,3
47,3,0
48,3,0
49,6,2
50,3,8
51,4,1
52,0,2
53,0,0
54,4,4
55,4,2
56,5,4
57,4,2
58,3,1
59,5,4
60,2,1
61,2,1
62,2,4
63,4,1
64,2,1
65,4,3
66,4,3
67,5,4
68,2,3
69,1,5
70,5,0
71,1,0
72,1,1
73,3,3
74,6,1
75,0,4
76,3,7
77,1,4
78,2,5
79,1,0
80,3,4
81,4,7
82,4,2
83,6,3
84,2,1
85,5,0
86,2,2
87,5,0
88,4,0
89,3,6
90,5,4
91,2,5
92,8,1
93,3,3
94,0,4
95,4,4
96,4,0
97,2,3
98,2,0
99,2,4
100,2,2
