connective,human_upper,human_total,gpt_upper,gpt_total
vorher,0,1,0,0
falls,2,4,6,6
nachdem,1,2,0,1
aber,0,54,0,18
"nur , dass",0,1,0,0
zwar,1,6,0,2
außer,0,1,0,1
zusätzlich,3,12,48,59
infolge,0,3,0,4
seit,6,17,0,0
dann,0,14,0,9
als,16,230,0,201
darüber hinaus,9,12,28,28
womit,0,1,0,0
ferner,1,3,0,0
indem,0,1,1,13
dennoch,1,4,15,16
sondern,0,12,0,23
zugleich,0,1,0,0
darauf,1,23,0,45
nämlich,0,2,0,0
sonst,0,1,0,0
sofern,1,6,0,0
dafür,1,4,0,2
soweit,0,2,0,0
auch wenn,4,6,0,0
folglich,0,2,0,0
also,0,8,0,3
so,14,48,1,6
zuvor,0,4,0,0
bevor,0,1,0,2
dagegen,1,8,0,0
des weiteren,2,2,14,14
aufgrund,19,56,14,23
dabei,15,31,32,68
obwohl,6,7,2,4
daher,11,36,37,103
überdies,0,1,0,0
beispielsweise,0,2,1,29
anstatt,0,3,0,0
weshalb,0,1,0,5
weiterhin,5,7,1,10
statt,0,2,0,0
hierdurch,0,1,0,0
trotzdem,2,3,3,3
wenn,6,45,5,22
vielmehr,0,1,3,3
hingegen,1,8,1,15
dadurch,5,14,15,20
aus diesem grund,3,4,0,0
wegen,1,6,0,0
daraufhin,0,2,0,0
sodass,0,7,0,1
weil,0,7,0,0
zudem,4,18,23,26
beziehungsweise,0,2,0,0
während,10,40,5,70
später,1,4,1,5
zunächst,0,9,4,4
entgegen,2,3,0,0
inwieweit,1,1,0,0
außerdem,2,6,1,1
ohnehin,0,2,0,0
da,18,50,0,71
seither,0,1,0,0
weder,3,9,0,0
ebenfalls,0,23,0,37
ob,3,12,0,24
andererseits,3,4,0,0
danach,1,2,0,0
insofern,3,4,0,0
inzwischen,2,4,0,1
somit,7,24,4,31
wie,4,94,1,273
weswegen,0,2,0,0
trotz,3,10,2,7
darum,0,0,0,4
allein,0,3,0,6
allerdings,17,46,6,6
deshalb,3,7,0,0
demgegenüber,2,3,0,0
infolgedessen,0,1,0,0
wenn auch,0,2,0,0
zu dem beispiel,0,5,0,24
