connective,human_upper,human_total,gpt_upper,gpt_total
ansonsten,1,1,0,0
aber,37,183,13,66
gleichwohl,0,1,0,0
"nur , dass",0,1,0,0
zwar,10,31,3,18
zusätzlich,0,3,2,6
seit,9,47,1,9
sondern,0,16,0,53
inwiefern,0,0,1,1
darauf,2,16,0,34
nämlich,0,6,0,0
sonst,0,4,0,1
sofern,0,2,0,1
dafür,3,26,0,21
auch wenn,2,8,3,5
unterdessen,1,1,0,0
folglich,1,1,0,0
ebenso wenig,1,1,0,0
so,41,204,0,53
zuvor,2,9,2,5
dagegen,0,12,0,1
des weiteren,0,0,4,4
aufgrund,4,16,2,20
daher,4,9,6,45
anstatt,2,2,0,2
weiterhin,2,14,3,81
statt,2,13,1,6
wenn,26,96,9,37
daraufhin,0,3,0,1
wegen,3,53,0,9
aus diesem grund,2,2,1,1
weil,8,42,0,4
beziehungsweise,1,3,0,0
entgegen,1,2,0,0
worauf,0,1,0,2
da,18,43,2,99
andererseits,2,4,0,0
danach,4,14,0,0
insofern,0,1,0,0
inzwischen,3,12,0,0
wie,46,195,8,244
weswegen,0,1,0,0
deswegen,0,3,0,0
denn,19,32,6,14
darum,2,15,0,25
ausser,1,3,0,0
allerdings,14,27,6,6
warum,12,15,0,6
zu dem beispiel,1,8,1,17
vorher,0,3,0,1
falls,3,6,0,0
nachdem,8,12,2,3
wonach,0,2,0,0
infolge,0,0,0,1
dann,6,53,0,10
als,26,223,15,272
allenfalls,1,2,0,0
darüber hinaus,1,1,22,26
womit,1,1,0,0
indem,0,2,17,25
dennoch,2,5,5,14
zugleich,0,1,0,0
soweit,0,3,0,0
also,3,24,9,25
seitdem,0,0,2,2
bevor,2,9,0,20
dabei,10,34,11,25
obwohl,6,15,24,29
beispielsweise,2,13,0,14
weshalb,1,7,0,1
trotzdem,5,12,5,6
vielmehr,1,1,0,0
hingegen,0,9,0,30
dadurch,1,6,13,18
sodass,0,2,0,0
zudem,14,26,43,45
während,10,31,18,54
später,3,20,0,3
zumal,2,3,0,0
zunächst,1,7,1,1
ausserdem,12,15,0,0
außerdem,0,0,8,12
ohnehin,3,6,0,0
seither,0,3,0,0
weder,0,3,0,0
ebenfalls,2,17,0,14
somit,0,4,5,26
trotz,3,9,21,27
allein,1,5,0,4
währenddessen,0,0,1,1
sobald,3,3,1,4
deshalb,14,32,4,7
wenn auch,0,1,0,0
ob,13,39,2,113
doch,28,53,39,47
