connective,human_upper,human_total,gpt_upper,gpt_total
statt,0,2,0,0
darüber hinaus,0,0,3,3
dafür,1,2,0,7
während,1,2,2,4
zu dem beispiel,0,1,0,0
nämlich,0,1,0,1
denn,1,2,0,0
inzwischen,1,1,0,0
seit,0,5,0,0
da,1,1,0,2
darum,0,0,0,1
hingegen,0,1,0,1
wegen,0,0,0,1
deshalb,0,1,0,0
ob,0,2,0,0
zuvor,0,2,0,0
aber,0,11,0,2
später,0,4,0,0
zugleich,0,1,0,0
entgegen,0,1,0,0
warum,0,2,0,3
dadurch,0,0,1,1
darauf,0,0,0,10
doch,2,4,0,0
sondern,0,12,0,14
indem,0,2,5,11
seitdem,0,0,1,1
ebenfalls,0,1,0,2
zusätzlich,0,0,2,2
hierauf,0,1,0,0
allein,0,3,0,0
wenn,2,8,0,0
somit,0,1,0,25
weiterhin,0,0,0,2
so,3,8,0,1
beispielsweise,0,1,0,2
wie,1,20,0,22
daher,1,3,0,5
insofern,0,1,0,0
dann,0,3,0,0
dabei,4,6,15,17
vielmehr,1,5,0,0
also,0,6,0,3
allerdings,2,6,1,1
zunächst,1,2,0,1
trotz,0,2,0,0
obwohl,0,1,4,4
sodass,0,2,0,0
zudem,2,3,0,4
dennoch,0,0,0,2
zwar,0,1,0,5
weder,0,1,0,5
als,1,56,0,51
