connective,human_upper,human_total,gpt_upper,gpt_total
indeed,7,8,0,1
unless,0,1,0,0
until,0,6,0,2
nonetheless,0,0,3,3
but,0,53,0,31
otherwise,0,1,0,0
although,24,34,6,10
later,0,6,0,0
in fact,2,3,0,0
then,1,8,0,6
since,3,17,1,1
yet,0,12,0,6
on the other hand,8,9,5,7
when,4,41,1,30
by contrast,1,1,0,0
therefore,34,42,27,30
meanwhile,2,2,0,0
as a result,2,5,4,4
in turn,0,5,0,6
before,0,9,0,6
because,4,29,0,0
still,2,21,0,25
after,5,40,3,20
as long as,0,1,0,0
however,65,78,119,119
even though,2,6,0,0
in addition,24,26,17,19
also,7,127,0,111
thus,13,26,0,1
though,2,8,0,0
previously,1,5,1,2
once,0,4,1,4
for example,18,20,7,7
while,17,48,30,64
finally,1,4,7,7
as,24,451,6,411
for instance,7,9,2,2
as soon as,1,2,0,0
instead,1,3,2,3
moreover,21,21,15,15
nevertheless,4,4,2,2
now that,1,1,0,0
if,2,11,0,2
