file,human_upper,machine_upper
1,0,5
2,2,2
3,3,5
4,3,4
5,3,10
6,1,1
7,3,4
8,1,1
9,1,10
10,4,0
11,5,0
12,1,1
13,0,4
14,5,4
15,7,7
16,2,2
17,4,3
18,0,1
19,3,1
20,1,6
21,2,8
22,2,10
23,3,4
24,7,6
25,4,5
26,4,4
27,1,0
28,4,0
29,1,4
30,2,2
31,3,1
32,3,2
33,1,4
34,0,4
35,4,3
36,3,0
37,2,7
38,5,1
39,3,5
40,3,0
41,3,1
42,2,2
43,6,2
44,2,2
45,1,2
46,1,4
47,0,1
48,4,0
49,1,7
50,4,2
51,1,0
52,0,3
53,1,0
54,0,0
55,1,1
56,0,5
57,2,0
58,1,2
59,1,0
60,1,2
61,5,0
62,0,0
63,3,2
64,0,0
65,6,4
66,3,0
67,2,4
68,2,2
69,2,1
70,3,0
71,1,4
72,2,2
73,1,7
74,1,0
75,0,1
76,2,5
77,3,2
78,1,1
79,3,0
80,2,3
81,2,4
82,3,3
83,1,2
84,2,6
85,1,0
86,2,0
87,3,0
88,0,2
89,4,4
90,1,1
91,5,11
92,4,1
93,5,4
94,2,4
95,2,1
96,1,11
97,3,2
98,1,3
99,4,0
100,1,0
