connective,human_upper,human_total,gpt_upper,gpt_total
indeed,1,2,0,2
until,0,10,0,9
but,2,86,0,42
otherwise,2,8,0,3
later,1,41,0,1
although,5,10,5,10
then,9,58,0,3
since,6,32,1,3
yet,1,7,0,0
on the other hand,0,0,1,3
when,1,19,0,33
by contrast,0,1,0,0
therefore,5,6,13,13
meanwhile,2,3,1,1
as a result,1,2,1,4
before,2,21,0,5
because,5,29,0,1
still,3,19,0,3
after,51,200,15,35
however,31,51,73,74
in addition,8,15,28,28
even though,0,1,0,0
also,9,96,0,161
thus,6,13,0,1
once,3,10,8,8
previously,0,2,0,5
though,1,7,0,0
while,2,30,6,30
finally,4,6,1,1
as,8,168,5,296
for instance,1,1,0,0
as soon as,1,2,0,0
instead,1,3,0,0
moreover,4,4,0,0
nevertheless,0,1,0,0
just as,0,1,0,0
separately,0,2,0,1
if,0,3,5,39
