file,human_upper,machine_upper
1,3,3
2,1,5
3,2,1
4,1,0
5,4,5
6,3,1
7,0,4
8,2,3
9,4,1
10,1,5
11,1,0
12,4,1
13,3,8
14,0,1
15,2,0
16,3,5
17,1,2
18,4,2
19,3,7
20,5,2
21,4,2
22,6,5
23,1,8
24,4,3
25,3,2
26,4,6
27,5,3
28,0,0
29,3,3
30,3,1
31,1,7
32,3,1
33,3,0
34,1,5
35,2,1
36,3,0
37,2,3
38,2,7
39,6,7
40,4,7
41,0,0
42,1,1
43,6,6
44,2,1
45,1,2
46,6,2
47,3,2
48,8,2
49,2,5
50,11,3
51,4,1
52,0,3
53,4,3
54,8,4
55,2,6
56,3,4
57,1,0
58,2,1
59,2,5
60,1,8
61,3,4
62,1,2
63,6,1
64,7,4
65,4,1
66,2,2
67,3,0
68,8,3
69,4,0
70,2,8
71,6,0
72,0,10
73,5,3
74,0,6
75,2,7
76,4,1
77,1,0
78,3,10
79,1,0
80,1,2
81,4,5
82,1,4
83,3,0
84,2,3
85,6,1
86,3,5
87,9,6
88,3,11
89,1,2
90,5,5
91,8,1
92,2,6
93,1,0
94,5,2
95,2,2
96,4,6
97,1,9
98,4,3
99,1,5
100,2,5
