connective,human_upper,human_total,gpt_upper,gpt_total
statt,0,6,0,1
darüber hinaus,18,20,91,91
dafür,1,12,5,8
während,12,33,5,48
überdies,0,1,0,0
ferner,1,2,0,0
wenngleich,0,2,0,0
zu dem beispiel,1,14,1,11
aus diesem grund,2,2,6,6
denn,5,7,3,3
inzwischen,3,8,0,0
seit,15,54,0,6
da,10,33,11,44
darum,0,1,0,2
hingegen,1,5,0,5
außerdem,3,6,2,2
wegen,0,2,0,0
deshalb,2,9,0,0
ob,0,14,0,13
hierdurch,0,1,0,0
inwiefern,0,1,0,0
weshalb,0,4,0,1
aber,3,75,0,11
zuvor,0,2,0,1
später,0,2,0,0
infolge,2,8,0,2
zugleich,2,4,0,0
vorher,0,1,0,0
entgegen,0,1,0,0
warum,1,3,0,1
dadurch,6,15,22,24
darauf,1,13,0,41
andererseits,0,6,1,3
doch,0,2,0,0
inwieweit,1,6,0,2
mithin,0,1,0,0
indem,0,7,3,12
sondern,0,41,0,44
seitdem,1,3,0,0
ebenfalls,1,10,0,44
zusätzlich,4,12,31,33
des weiteren,7,7,17,17
währenddessen,1,1,0,0
dessen ungeachtet,1,1,0,0
weil,0,4,0,0
allein,3,7,0,8
folglich,0,2,0,0
wenn,3,31,0,20
ohnehin,0,4,0,0
somit,2,21,0,39
beziehungsweise,0,1,0,0
wenn auch,0,1,0,1
worauf,0,1,0,0
weiterhin,1,11,1,30
so,26,53,1,29
beispielsweise,0,25,0,45
aufgrund,17,42,10,31
außer,1,3,0,1
andernfalls,0,0,1,1
wie,14,163,0,157
nachdem,1,2,0,1
bevor,0,1,0,2
daher,6,28,28,67
infolgedessen,2,3,0,0
insofern,1,2,0,0
dann,0,15,0,4
dabei,22,58,46,75
vielmehr,1,4,2,2
dagegen,2,5,0,0
also,0,20,0,2
trotzdem,1,3,4,4
allerdings,4,16,27,27
sofern,0,2,0,0
womit,0,1,0,0
zunächst,2,20,1,2
auch wenn,3,5,1,1
allenfalls,0,1,0,0
trotz,12,16,15,23
danach,2,2,0,2
obwohl,5,11,5,13
sodass,0,4,0,1
zumal,0,1,0,0
demgegenüber,2,2,0,0
zudem,19,26,53,57
dennoch,5,7,10,11
zwar,1,7,0,7
weder,0,1,0,0
als,19,271,3,176
sobald,0,1,0,0
seither,1,1,0,0
