file,human_upper,machine_upper
1,4,2
2,0,1
3,1,3
4,1,1
5,0,2
6,6,3
7,0,2
8,2,4
9,1,1
10,0,1
11,3,3
12,0,0
13,2,3
14,3,0
15,1,3
16,3,2
17,0,1
18,3,0
19,4,1
20,0,2
21,0,3
22,1,2
23,2,3
24,2,0
25,0,1
26,1,2
27,1,3
28,2,1
29,0,1
30,1,2
31,1,1
32,1,0
33,0,0
34,0,0
35,1,0
36,2,0
37,2,1
38,3,1
39,2,2
40,4,4
41,0,1
42,3,1
43,4,0
44,1,1
45,2,3
46,3,3
47,3,2
48,5,0
49,1,0
50,0,1
51,0,4
52,0,1
53,0,2
54,2,3
55,5,0
56,5,1
57,1,0
58,1,0
59,2,1
60,3,3
61,5,3
62,1,2
63,2,0
64,1,4
65,2,0
66,2,3
67,1,2
68,2,4
69,0,2
70,1,0
71,7,3
72,1,0
73,1,0
74,0,1
75,3,3
76,0,1
77,4,2
78,1,0
79,0,1
80,1,2
81,0,2
82,6,1
83,2,3
84,3,0
85,0,1
86,1,3
87,4,2
88,5,1
89,0,4
90,4,2
91,5,2
92,2,4
93,0,2
94,4,2
95,0,2
96,0,0
97,1,0
98,1,0
99,1,7
100,1,3
