connective,human_upper,human_total,gpt_upper,gpt_total
statt,0,2,0,0
darüber hinaus,9,12,28,28
dafür,1,4,0,2
während,10,40,5,70
überdies,0,1,0,0
ferner,1,3,0,0
aus diesem grund,3,4,0,0
nämlich,0,2,0,0
zu dem beispiel,0,5,0,24
inzwischen,2,4,0,1
seit,6,17,0,0
da,18,50,0,71
darum,0,0,0,4
hingegen,1,8,1,15
außerdem,2,6,1,1
wegen,1,6,0,0
anstatt,0,3,0,0
deshalb,3,7,0,0
ob,3,12,0,24
hierdurch,0,1,0,0
zuvor,0,4,0,0
aber,0,54,0,18
weshalb,0,1,0,5
daraufhin,0,2,0,0
später,1,4,1,5
infolge,0,3,0,4
zugleich,0,1,0,0
vorher,0,1,0,0
entgegen,2,3,0,0
dadurch,5,14,15,20
darauf,1,23,0,45
andererseits,3,4,0,0
inwieweit,1,1,0,0
indem,0,1,1,13
sondern,0,12,0,23
ebenfalls,0,23,0,37
"nur , dass",0,1,0,0
des weiteren,2,2,14,14
zusätzlich,3,12,48,59
weil,0,7,0,0
allein,0,3,0,6
soweit,0,2,0,0
folglich,0,2,0,0
wenn,6,45,5,22
ohnehin,0,2,0,0
somit,7,24,4,31
beziehungsweise,0,2,0,0
wenn auch,0,2,0,0
weiterhin,5,7,1,10
so,14,48,1,6
beispielsweise,0,2,1,29
aufgrund,19,56,14,23
außer,0,1,0,1
falls,2,4,6,6
wie,4,94,1,273
nachdem,1,2,0,1
bevor,0,1,0,2
weswegen,0,2,0,0
daher,11,36,37,103
infolgedessen,0,1,0,0
insofern,3,4,0,0
sonst,0,1,0,0
dann,0,14,0,9
dabei,15,31,32,68
vielmehr,0,1,3,3
dagegen,1,8,0,0
also,0,8,0,3
trotzdem,2,3,3,3
allerdings,17,46,6,6
sofern,1,6,0,0
womit,0,1,0,0
zunächst,0,9,4,4
auch wenn,4,6,0,0
trotz,3,10,2,7
danach,1,2,0,0
obwohl,6,7,2,4
sodass,0,7,0,1
demgegenüber,2,3,0,0
zudem,4,18,23,26
dennoch,1,4,15,16
zwar,1,6,0,2
weder,3,9,0,0
als,16,230,0,201
seither,0,1,0,0
